mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,num_heavy_atoms,num_rings,qed,lipinski_violations,veber_violations,pains_alerts,permeability_score,pgp_risk,compound_id,smiles,cnn_affinity,type,drug_name,mw_bin,label,ml_score_corrected,composite_corrected,rank_corrected,NOD2_Scout_drugability,cid,name,ml_score,nod2_scout_score,mol_valid,MW,LogP_Crippen,TPSA,HBD,HBA,RotBonds,AromaticRings,FractionCsp3,NumHeavyAtoms,MolarRefractivity,NumRings,QED_score,PAINS_alerts,Brenk_alerts,Lipinski_pass,Veber_pass,Ghose_pass,Egan_pass,LogS_ESOL,Solubility_class,LE,LE_norm,GI_absorb,bioavail,BBB,Vd_class,cyp_risk,hERG_inhib,AMES,hepatotox,carcinogenic,LD50_class,drug_interaction_flag,gi_toxicity_flag
409.57400000000024,4.3436800000000035,78.91,1.0,5.0,3.0,1.0,0.8,30.0,5.0,0.805143916086387,0,0.0,0,0.4363571428571429,0,fda_2101,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,6.61865616,FDA,ZURANOLONE,L,1.0,0.99470514,0.8586955509549702,1.0,0.8586955509549702,,,,,True,409.57400000000024,4.3436800000000035,78.91,1,5,3,1,0.8,30,113.17280000000008,5,0.805143916086387,0,0,1,1,1,1,-5.065877200000003,poor,0.220621872,0.45409577345981633,1,1.0,0,high,1,,,,,,0,0
376.4680000000002,2.7808000000000015,74.6,2.0,4.0,2.0,0.0,0.7272727272727273,27.0,4.0,0.7771649436279087,0,0.0,0,0.4671428571428572,0,fda_462,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,6.27066278,FDA,DESOXIMETASONE,M,1.0,0.99854255,0.8359011609431783,2.0,0.8359011609431783,,,,,True,376.4680000000002,2.7808000000000015,74.6,2,4,2,0,0.7272727272727273,27,98.48460000000004,4,0.7771649436279087,0,0,1,1,1,1,-3.7940056000000024,moderate,0.23224676962962965,0.60608703147375,1,1.0,1,medium,0,,,,,,0,0
344.49500000000006,3.9403000000000032,54.370000000000005,1.0,3.0,1.0,0.0,0.8181818181818182,25.0,4.0,0.7837023582235211,0,0.0,0,0.6116428571428572,0,fda_378,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,5.99710417,FDA,MEDRYSONE,M,1.0,0.9990682,0.834971399595859,3.0,0.834971399595859,,,,,True,344.49500000000006,3.9403000000000032,54.370000000000005,1,3,1,0,0.8181818181818182,25,96.81780000000005,4,0.7837023582235211,0,0,1,1,1,1,-4.392258000000003,poor,0.2398841668,0.7059431885652278,1,1.0,0,high,0,,,,,,0,0
312.4530000000001,3.882600000000003,37.3,1.0,2.0,1.0,0.0,0.7619047619047619,23.0,4.0,0.7460501574652694,0,0.0,0,0.7335714285714285,0,fda_380,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,5.83266211,FDA,NORGESTREL,S,1.0,0.999019,0.8294932098021053,4.0,0.8294932098021053,,,,,True,312.4530000000001,3.8826000000000036,37.3,1,2,1,0,0.7619047619047619,23,90.49280000000006,4,0.7460501574652694,0,1,1,1,1,1,-4.157246600000003,poor,0.2535940047826087,0.8851942743410508,1,1.0,1,high,0,,,,,,0,0
312.4530000000001,3.882600000000003,37.3,1.0,2.0,1.0,0.0,0.7619047619047619,23.0,4.0,0.7460501574652694,0,0.0,0,0.7335714285714285,0,fda_531,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,5.79364157,FDA,LEVONORGESTREL,S,1.0,0.999019,0.8270904406089076,5.0,0.8270904406089076,,,,,True,312.4530000000001,3.8826000000000036,37.3,1,2,1,0,0.7619047619047619,23,90.49280000000006,4,0.7460501574652694,0,1,1,1,1,1,-4.157246600000003,poor,0.2518974595652174,0.8630125700298158,1,1.0,1,high,0,,,,,,0,0
349.51800000000003,5.398600000000005,33.120000000000005,1.0,2.0,1.0,1.0,0.625,26.0,5.0,0.6887813871003827,1,0.0,0,0.7634285714285713,0,fda_1489,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,5.90645599,FDA,ABIRATERONE,M,1.0,0.99719244,0.8250212031125358,6.0,0.8250212031125358,,,,,True,349.51800000000003,5.398600000000005,33.120000000000005,1,2,1,1,0.625,26,105.30680000000005,5,0.6887813871003827,0,1,0,1,1,1,-5.490129600000003,poor,0.22717138423076924,0.5397282353573734,1,0.6666666666666666,0,high,1,,,,,,0,0
370.5330000000002,4.496500000000005,54.370000000000005,1.0,3.0,2.0,0.0,0.75,27.0,4.0,0.7786891088285057,0,0.0,0,0.6116428571428572,0,fda_737,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5.84598112,FDA,RIMEXOLONE,M,1.0,0.99924845,0.8247171314537998,7.0,0.8247171314537998,,,,,True,370.53300000000013,4.496500000000005,54.370000000000005,1,3,2,0,0.75,27,105.95780000000006,4,0.7786891088285057,0,0,1,1,1,1,-4.838099600000004,poor,0.21651781925925928,0.4004367943535559,1,1.0,0,high,1,,,,,,0,0
406.56600000000014,5.672800000000006,43.370000000000005,0.0,3.0,4.0,1.0,0.6296296296296297,30.0,5.0,0.6049275845173735,1,0.0,0,0.6902142857142857,0,fda_1345,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,6.30494165,FDA,NANDROLONE PHENPROPIONATE,L,1.0,0.98497945,0.8218026823095866,8.0,0.8218026823095866,,,,,True,406.56600000000014,5.672800000000006,43.370000000000005,0,3,4,1,0.6296296296296297,30,116.73600000000003,5,0.6049275845173735,0,0,0,1,0,1,-5.818573200000004,poor,0.21016472166666667,0.3173723815605971,1,0.6666666666666666,0,high,1,,,,,,0,0
330.4680000000001,3.695900000000003,54.370000000000005,1.0,3.0,2.0,0.0,0.8095238095238095,24.0,4.0,0.8398032346789407,0,0.0,0,0.6116428571428572,0,fda_1791,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,5.57008219,FDA,DESOXYCORTICOSTERONE,M,1.0,0.99551034,0.8188294867118608,9.0,0.8188294867118608,,,,,True,330.4680000000001,3.695900000000003,54.370000000000005,1,3,2,0,0.8095238095238095,24,92.29280000000004,4,0.8398032346789407,0,0,1,1,1,1,-4.085318600000003,poor,0.23208675791666666,0.6039949372183804,1,1.0,1,high,0,,,,,,0,0
350.345,0.4611999999999996,77.4,1.0,6.0,3.0,2.0,0.4117647058823529,25.0,3.0,0.8703616805410703,0,0.0,0,0.447142857142857,0,fda_665,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,5.9436183,FDA,LOMEFLOXACIN,M,1.0,0.93810266,0.8142701072741602,10.0,0.8142701072741602,,,,,True,350.345,0.46119999999999967,77.4,1,6,3,2,0.4117647058823529,25,87.80620000000003,3,0.8703616805410703,0,0,1,1,1,1,-2.598028333333333,moderate,0.237744732,0.6779708659649858,1,1.0,1,low,0,,,,,,0,0
