final_rank,compound_id,drug_name,NOD2_Scout_drugability,LE,ADMET_score,safety_score,BBB,PAINS_alerts,Tier,FINAL_SCORE
1,fda_760,FEBUXOSTAT,0.7964674507031066,0.259895845,0.9260743784556521,0.9535812615188403,0,0,1,0.907933933710444
2,10592,CID_10592,0.7956947,0.25927125500000003,0.9125658859131173,0.9085529530437249,0,0,1,0.894502695231621
3,fda_378,MEDRYSONE,0.834971399595859,0.2398841668,0.8755332122401168,0.9351107074670563,0,0,2,0.8769911832887209
4,2348,benzylhydrochlorothiazide,0.7195105,0.25696374958333335,0.9158963734311242,0.9196545781037475,0,0,1,0.871683403717578
5,100679,82585-94-2,0.7532124,0.2457529448,0.8765802581328842,0.9386008604429474,0,0,2,0.8610964867154882
6,2854,"[8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2-methylbutanoate",0.8164314,0.23006730428571429,0.867585099850681,0.9086169995022702,0,0,2,0.8513082272876127
7,fda_770,NEVIRAPINE,0.7957493189188262,0.26158247,0.9275544512577777,0.9585148375259257,1,0,2,0.851280427689102
8,fda_213,MESTRANOL,0.804077712219716,0.2263751860869565,0.8767151277632123,0.939050425877374,0,0,2,0.8511440045486245
9,201120,"Imidazo(1,2-a)pyridine, 2-(p-nitrophenyl)-3-(piperidinomethyl)-",0.7618953,0.24819334040000002,0.8531833287221439,0.8606110957404794,0,0,2,0.8454448988516013
10,fda_262,NANDROLONE,0.8077694944590582,0.2760819675,0.9160535772006725,0.9201785906689084,1,0,2,0.8453799607716672
11,fda_467,TRIAZOLAM,0.8105164995480982,0.2683763917391304,0.768047269697714,0.7990464545479357,0,0,2,0.8449760581984451
12,fda_2051,BELZUTIFAN,0.7902917090391642,0.21788408192307693,0.8840987941312036,0.963662647104012,0,0,2,0.8426747582489412
13,fda_161,GLUTETHIMIDE,0.7808169087750776,0.322061210625,0.919056985796603,0.9301899526553439,1,0,2,0.8400473096127428
14,fda_1347,FLUPREDNISOLONE,0.7827456317440027,0.22153119703703705,0.9109338003079049,0.9031126676930168,0,0,1,0.839778159503372
15,100668,NSC341931,0.7987251,0.2559619332,0.7753573595625144,0.8234134207639365,0,0,2,0.8397549607326752
17,fda_209,NORETHINDRONE,0.8094549316112892,0.2579061336363636,0.9125579669627631,0.9085265565425444,1,0,2,0.836838659736932
18,fda_1784,DEOXYCHOLIC ACID,0.8035313171272368,0.2082408325,0.9194251026320673,0.9314170087735583,0,0,1,0.8364208964294544
19,10120,CID_10120,0.8181015,0.23297035275862069,0.7953054979353528,0.9010183264511761,0,0,2,0.836015251231439
22,fda_304,BETAMETHASONE,0.7872901910693823,0.2179351364285714,0.9100492147292895,0.9001640490976315,0,0,1,0.8356289402931469
23,fda_536,PRAZIQUANTEL,0.8118344742769834,0.24694818,0.9219430704658315,0.9398102348861055,1,0,2,0.8318284130043352
