cid,name,cnn_affinity,smiles
10120,CID_10120,6.75614023,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C)O
10592,CID_10592,6.74105263,CC12CCC(=O)CC1CCC3C2C(CC4(C3CC[C@@]4(C(=O)CO)O)C)O
2705,CID_2705,6.67316389,CC(CCC(=O)O)C1CCCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
100290,CID_100290,6.66394615,C[C@H]1CC[C@H]2[C@@]([C@@]3(CC[C@@H]4[C@H]([C@@H]3CN2C1)C[C@H]5[C@H]4CC(=O)[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)(C)O
100758,75660-48-9,6.63462973,C1=CC=C(C(=C1)C2=C(C(=O)N(N=C2C3=CC=CC=C3Cl)CCO)C#N)Cl
2464,"5-(3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pyran-2-one",6.60823202,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=COC(=O)C=C5)O)C)O
10062,CHEMBL355996,6.57420015,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CCC5=C[C@H](CC[C@]35C)O
2392,Pibenzimol,6.57297707,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O
100760,82232-19-7,6.55109596,C1=CC(=CC=C1C2=C(C(=O)N(N=C2C3=CC=C(C=C3)Cl)CCOC(=O)CCC(=O)O)C#N)Cl
100059,86422-04-0,6.51528549,CC(C)NC(=O)OCC1=C2CC(CN2C(=C1COC(=O)NC(C)C)C3=CC(=C(C=C3)Cl)Cl)O
400715,713079-03-9,6.49277687,C1CN(C[C@H]1N)C2=C(C=C3C4=C2OC5=C(N4C=C(C3=O)C(=O)O)C=C6C=CC7=CC=CC=C7C6=C5)F
3932,Linopirdine,6.48609924,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5
