cid,name,cnn_affinity,ml_score,nod2_scout_score,qed,mw,logp,pains_alerts,lipinski_violations,smiles
3915,Cabastine,6.3975997,0.99721307,0.8376411,0.7645771813481718,420.52800000000025,4.894080000000004,0,0,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F
2464,"5-(3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pyran-2-one",6.60823202,0.98277885,0.8374857,0.7571997201055188,386.53200000000004,4.2419000000000056,0,0,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=COC(=O)C=C5)O)C)O
10062,CHEMBL355996,6.57420015,0.98702466,0.8306968,0.7133781183535943,384.51600000000025,4.162000000000004,0,0,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CCC5=C[C@H](CC[C@]35C)O
11014,545-51-7,6.15911818,0.97214895,0.8267062,0.7635110974587134,366.5010000000002,4.967200000000005,0,0,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CC=C5[C@@]3(CCC=C5)C
2476,DTXSID60860647,6.4269309,0.9864535,0.825216,0.686738022566705,467.65000000000026,4.413800000000005,0,0,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
20182,I.S. 3231,6.3024025,0.9895635,0.8250834,0.728916467782487,436.5960000000001,2.6045000000000007,0,0,CC(C)(CO)N1CC2(CN(CC(C1)(C2=O)C3=CC=CC=C3)C(C)(C)CO)C4=CC=CC=C4
100290,CID_100290,6.66394615,0.9825575,0.82169676,0.5867428154307659,443.6720000000003,4.276400000000005,0,0,C[C@H]1CC[C@H]2[C@@]([C@@]3(CC[C@@H]4[C@H]([C@@H]3CN2C1)C[C@H]5[C@H]4CC(=O)[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)(C)O
100758,75660-48-9,6.63462973,0.95557904,0.82095784,0.7409196323373736,386.23800000000017,3.748080000000002,0,0,C1=CC=C(C(=C1)C2=C(C(=O)N(N=C2C3=CC=CC=C3Cl)CCO)C#N)Cl
2705,CID_2705,6.67316389,0.9907843,0.81825393,0.6224275306903821,406.6070000000002,4.8680000000000065,0,0,CC(CCC(=O)O)C1CCCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
101789,600-59-9,6.18049812,0.93929356,0.81818575,0.7949586169339063,332.4840000000001,3.774200000000003,0,0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
10120,CID_10120,6.75614023,0.9848969,0.8181015,0.6700610881705871,402.5310000000003,3.356800000000003,0,0,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C)O
2854,"[8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2-methylbutanoate",6.44188452,0.97728604,0.8164314,0.6953899983409009,390.5200000000002,3.9495000000000036,0,0,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O
101773,570-52-5,6.26370096,0.93929356,0.81610245,0.7683828059012026,334.50000000000006,3.7101000000000037,0,0,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C)O
100494,39632-88-7,6.34752893,0.96837974,0.81501055,0.6942459073118474,377.4480000000002,2.365,0,0,C1COCCN1C2=NN=C(C3=CN=C(C=C32)C4=CC=CC=C4)N5CCOCC5
3962,79952-43-5,6.45099497,0.9770106,0.81328195,0.671999391844661,404.54700000000025,4.195500000000004,0,0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
3932,Linopirdine,6.48609924,0.9882583,0.81034833,0.4871624324764735,391.47400000000005,4.878100000000003,0,0,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5
2662,celecoxib,6.36811304,0.9515689,0.8088706,0.7541053298167572,381.3790000000001,3.5139200000000015,0,0,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2987,30635-00-8,6.35324717,0.99041814,0.8076402,0.659162096020487,392.58000000000015,4.477900000000006,0,0,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C
100105,EINECS 252-661-1,6.28781652,0.9929557,0.8075028,0.6639930146317803,387.43500000000006,4.221000000000003,0,0,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24
100668,NSC341931,6.39904833,0.97045374,0.7987251,0.744711402546455,380.235,4.085300000000001,0,0,CCOC(=O)NC1=NC(=C2C(=C1)NCC(=N2)C3=C(C=C(C=C3)Cl)Cl)N
10604,Forbisen,6.17072535,0.98680985,0.7984923,0.5536270865210524,374.44400000000013,2.9492400000000014,0,0,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C3=C(N(N(C3=O)C4=CC=CC=C4)C)C
10053,Gamabufotalin (Gamabufagin; Gamabufogenin),6.34119177,0.9842907,0.7972792,0.670976049268673,402.53100000000006,3.2127000000000026,0,0,C[C@]12CC[C@@H](C[C@H]1CCC3C2[C@@H](C[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O)O
201522,Rubijervine hydrobromide,6.30044508,0.9842902,0.79656875,0.4550612360953845,494.55800000000016,5.203700000000008,0,1,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3([C@H](C[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)O)C)C.Br
10059,CID_10059,6.30542803,0.9862359,0.79617184,0.670976049268673,402.53100000000006,3.212700000000003,0,0,C[C@]12CC[C@@H](C[C@H]1CCC3C2CC[C@]4([C@@]3(C[C@@H]([C@@H]4C5=COC(=O)C=C5)O)O)C)O
10592,CID_10592,6.74105263,0.92028946,0.7956947,0.6951765101457498,364.4820000000001,1.8615,0,0,CC12CCC(=O)CC1CCC3C2C(CC4(C3CC[C@@]4(C(=O)CO)O)C)O
101688,"3-hydroxy-17-(7-hydroxy-6-methyl-3-oxoheptan-2-yl)-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,17-dodecahydrocyclopenta[a]phenanthren-16-one",6.12115812,0.99577576,0.79101,0.5981089616553789,430.62900000000025,4.719100000000006,0,0,CC(CCC(=O)C(C)C1C(=O)CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO
201157,CID_201157,6.14699793,0.99485826,0.78870785,0.5543834281233575,433.5480000000002,2.628700000000002,0,0,C[C@@]12C[C@@H](CC34[C@@H]1[C@H]5CC67[C@H]3[C@H](C(C[C@@H]6C4N5C2)C(=C)[C@H]7O)O)OC(=O)C8=CC=CC=C8
2516,"7-(hydroxymethyl)-10b-methyl-3b,4,5,6,7,8,9,10,10a,10b,11,12-dodecahydro-5a,8-methanocyclohepta[5,6]naphtho[2,1-b]furan-7-ol",6.30056572,0.81580764,0.7869977,0.8314823955760107,316.441,3.639300000000003,0,0,CC12CCC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3
10119,Bufotaline,6.11719084,0.9946795,0.78583616,0.6740200731700228,444.56800000000015,3.783500000000004,0,0,CC(=O)O[C@H]1C[C@@]2(C3CC[C@@H]4C[C@H](CC[C@@]4(C3CC[C@@]2([C@H]1C5=COC(=O)C=C5)C)C)O)O
51724,72935-75-2,6.29585457,0.9929557,0.78405285,0.5204091213299294,388.4230000000001,2.8815999999999997,0,0,COC1=CC2=C(C=C1)N(C(=O)C2(C3=CC=CC=C3)C4=CC=CC=C4)CC(=O)NO
401474,NSC715132,6.12988806,0.9781949,0.7801848,0.553147901711654,362.41,4.777700000000002,0,0,C1=CC=C2C(=C1)N=C(C(=N2)OC3=CC=C(C=C3)CC(=O)O)C4=CC=CS4
3796,WHI-P97,6.38167953,0.9477532,0.7801256,0.5598057879274677,455.106,4.621200000000003,0,0,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC
100059,86422-04-0,6.51528549,0.99032634,0.77707297,0.516153187114683,498.4070000000001,4.648100000000004,0,0,CC(C)NC(=O)OCC1=C2CC(CN2C(=C1COC(=O)NC(C)C)C3=CC(=C(C=C3)Cl)Cl)O
2392,Pibenzimol,6.57297707,0.9914869,0.77616954,0.4036681383375293,424.5080000000001,4.2306000000000035,0,0,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O
20728,NS00031576,6.15827703,0.99279237,0.7739014,0.5075442255173991,416.5580000000003,4.9310000000000045,0,0,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)CCC(=O)O)C)C
101967,PREGNANETRIOL,6.31255388,0.84884197,0.77237,0.6866507227267616,336.516,3.5019000000000036,0,0,C[C@@H]([C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C)O)O
