#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3525093.8417829685,576863.0976102448,311.9017967975135,0,--
3.1%,155000,620.0000000015042,-3527306.457842404,577306.9094435987,312.1417596393672,275,1:41:19
3.1%,157500,630.0000000015519,-3527138.7951242607,575327.3724216785,311.07145169884916,274,1:41:58
3.2%,160000,640.0000000015997,-3529221.212950891,574800.6014944725,310.78663403695174,274,1:41:45
3.2%,162500,650.0000000016474,-3523981.129462665,575884.9289230129,311.3729146894664,274,1:41:42
3.3%,165000,660.0000000016952,-3528346.532781627,574838.8234218338,310.8073000977041,273,1:41:55
3.4%,167500,670.0000000017429,-3529968.064206386,575884.5488622828,311.3727091959531,273,1:41:58
3.4%,170000,680.0000000017907,-3529121.4655024763,574134.3658004948,310.4264097291339,273,1:41:56
3.5%,172500,690.0000000018384,-3527020.1081561167,574817.9383890899,310.79600785303467,273,1:41:47
3.5%,175000,700.0000000018862,-3525432.0663363207,574967.9985398471,310.8771432746673,273,1:41:46
3.5%,177500,710.0000000019339,-3527533.3430188764,573646.2976459737,310.1625181143203,273,1:41:36
3.6%,180000,720.0000000019817,-3527689.20161533,573705.1752027068,310.19435238455213,274,1:41:30
3.6%,182500,730.0000000020294,-3528596.5021353047,574815.9989260813,310.79495921255193,273,1:41:36
3.7%,185000,740.0000000020772,-3527848.0779547524,576727.48198665,311.82847132939423,273,1:41:42
3.8%,187500,750.0000000021249,-3526330.1918310244,573113.2032652806,309.87428144969454,273,1:41:42
3.8%,190000,760.0000000021727,-3528447.3008285593,574087.139144771,310.4008749378845,273,1:41:35
3.9%,192500,770.0000000022204,-3525639.488303151,574717.8531034759,310.74189314099067,273,1:41:28
3.9%,195000,780.0000000022682,-3527579.918676283,573985.6887151577,310.3460221116015,273,1:41:25
4.0%,197500,790.0000000023159,-3527383.430463778,572831.7225809505,309.7220887863572,273,1:41:28
4.0%,200000,800.0000000023637,-3527434.9486313574,577638.8226565456,312.3212204645228,273,1:41:22
4.0%,202500,810.0000000024114,-3524335.192148501,576110.9461188352,311.49511902144076,273,1:41:11
4.1%,205000,820.0000000024592,-3525168.6246265434,575414.7826977745,311.11871321078473,273,1:41:07
4.2%,207500,830.0000000025069,-3529831.945746282,576899.0202218981,311.92121965046897,273,1:41:01
4.2%,210000,840.0000000025547,-3525184.3356992733,576444.8038799618,311.67563123656,273,1:40:59
4.2%,212500,850.0000000026024,-3527075.9660116658,573927.3184334412,310.3144621178658,273,1:40:56
4.3%,215000,860.0000000026502,-3525773.054459989,576303.4384577386,311.5991969328593,273,1:40:54
4.3%,217500,870.0000000026979,-3527117.755497856,577566.2604474337,312.2819870944297,273,1:40:47
4.4%,220000,880.0000000027457,-3526451.501811173,575118.049185904,310.95827355724145,273,1:40:44
4.5%,222500,890.0000000027934,-3527423.4722885024,576072.1801108357,311.4741587839081,273,1:40:41
4.5%,225000,900.0000000028411,-3530244.182425197,573690.0677873302,310.18618401666646,273,1:40:37
4.5%,227500,910.0000000028889,-3527447.5181361586,575335.0081479552,311.0755802290938,273,1:40:35
4.6%,230000,920.0000000029366,-3525927.9657082576,575252.1975763586,311.03080571295334,273,1:40:31
4.7%,232500,930.0000000029844,-3530062.792900825,575798.6340658006,311.32625626889757,273,1:40:26
4.7%,235000,940.0000000030321,-3529165.921515707,575259.6020788446,311.0348092237332,273,1:40:21
4.8%,237500,950.0000000030799,-3531206.1858883593,575422.6162997684,311.1229487296581,274,1:40:16
4.8%,240000,960.0000000031276,-3524761.824954288,573560.3256666036,310.11603426927826,274,1:40:11
4.8%,242500,970.0000000031754,-3523869.7833637297,577775.5840147181,312.39516541528013,274,1:40:07
4.9%,245000,980.0000000032231,-3526895.1608399227,573916.9600540297,310.308861487207,274,1:40:03
5.0%,247500,990.0000000032709,-3528245.1376215797,575459.2250254938,311.142742554882,274,1:39:59
5.0%,250000,1000.0000000033186,-3524605.764098538,577041.5356756501,311.9982757601089,274,1:39:55
5.0%,252500,1010.0000000033664,-3527614.9033829607,575613.4588245708,311.22613460970103,274,1:39:57
5.1%,255000,1020.0000000034141,-3524542.4634177703,572789.6555020683,309.69934370603613,274,1:39:53
5.2%,257500,1030.0000000032912,-3528156.671817731,574633.0840290905,310.6960596898249,274,1:39:49
5.2%,260000,1040.0000000030548,-3525940.6337580364,576663.711991211,311.79399178608213,274,1:39:45
5.2%,262500,1050.0000000028183,-3527366.31077246,575146.3645887033,310.97358329892324,274,1:39:40
5.3%,265000,1060.0000000025818,-3525064.317613121,574272.9777690098,310.501355278982,274,1:39:36
5.3%,267500,1070.0000000023454,-3524211.4468115456,576458.6832136174,311.68313559786077,274,1:39:35
5.4%,270000,1080.000000002109,-3528026.298058942,575724.1049553008,311.28595942277434,274,1:39:31
5.5%,272500,1090.0000000018724,-3528575.7098451946,575807.7123716846,311.33116478172997,274,1:39:27
5.5%,275000,1100.000000001636,-3529907.9709689077,576131.4490591269,311.5062046740733,274,1:39:25
5.5%,277500,1110.0000000013995,-3527726.3025471587,576995.460307616,311.97336345398725,274,1:39:21
5.6%,280000,1120.000000001163,-3526028.6140816696,574080.818588882,310.3974575018468,274,1:39:16
5.7%,282500,1130.0000000009265,-3525707.027083995,575968.7959662254,311.4182604250117,274,1:39:13
5.7%,285000,1140.00000000069,-3529322.0788098704,575955.1925072093,311.41090522526434,274,1:39:09
5.8%,287500,1150.0000000004536,-3529026.5845045615,576358.4333642395,311.6289319084946,274,1:39:08
5.8%,290000,1160.0000000002171,-3524239.61240454,575002.0110597834,310.89553336778584,274,1:39:06
5.8%,292500,1169.9999999999807,-3524783.0651730355,578095.6504340599,312.5682208450707,274,1:39:04
5.9%,295000,1179.9999999997442,-3527215.856051188,576678.7571278479,311.8021264807255,274,1:39:02
6.0%,297500,1189.9999999995077,-3527150.1354495846,574534.7049145466,310.6428674805802,274,1:38:57
6.0%,300000,1199.9999999992713,-3525609.7885593474,576244.1914836954,311.5671629238623,274,1:38:54
6.0%,302500,1209.9999999990348,-3529317.638243085,574092.6707982001,310.4038658254121,274,1:38:50
6.1%,305000,1219.9999999987983,-3522939.999907028,576793.4938301572,311.86416300855535,274,1:38:45
6.2%,307500,1229.9999999985619,-3525391.4780496005,575598.5461400733,311.21807153007427,274,1:38:43
6.2%,310000,1239.9999999983254,-3525483.2776206806,575647.3727629635,311.2444714011599,274,1:38:40
6.2%,312500,1249.999999998089,-3525766.974228749,572985.4545653362,309.8052095170016,274,1:38:37
6.3%,315000,1259.9999999978525,-3527699.617667254,575870.0337162395,311.3648610598001,274,1:38:32
6.3%,317500,1269.999999997616,-3530328.2736555487,575720.8032321602,311.28417422731917,274,1:38:29
6.4%,320000,1279.9999999973795,-3526723.2633854877,575925.3437156549,311.3947664017608,274,1:38:26
6.5%,322500,1289.999999997143,-3525522.075662492,575464.4603768088,311.14557323600684,274,1:38:22
6.5%,325000,1299.9999999969066,-3527682.194746582,575582.7080977461,311.20950812243024,274,1:38:18
6.5%,327500,1309.99999999667,-3527858.6650212314,576772.5447383346,311.8528361280393,274,1:38:15
6.6%,330000,1319.9999999964336,-3528162.808445744,575548.1544280737,311.19082543722914,274,1:38:11
6.7%,332500,1329.9999999961972,-3530097.9090198204,574310.9153948535,310.52186762188603,274,1:38:08
6.7%,335000,1339.9999999959607,-3524973.8655313607,578671.7857613636,312.8797291466572,274,1:38:05
6.8%,337500,1349.9999999957242,-3526175.8675240558,575832.2265513375,311.3444192552999,274,1:38:01
6.8%,340000,1359.9999999954878,-3525821.050608473,575304.7603088906,311.05922564619095,274,1:37:58
6.8%,342500,1369.9999999952513,-3526630.5548386145,578604.7340437727,312.8434752221445,274,1:37:55
6.9%,345000,1379.9999999950148,-3525643.3182094116,577244.0346790709,312.1077641348694,274,1:37:52
7.0%,347500,1389.9999999947784,-3525056.9387573563,578058.4561920273,312.54811043938076,274,1:37:49
7.0%,350000,1399.999999994542,-3527748.1729353666,576551.6493488286,311.7334010849994,274,1:37:47
7.0%,352500,1409.9999999943054,-3525682.4427855294,576181.618382347,311.53333052442025,274,1:37:43
7.1%,355000,1419.999999994069,-3527720.0669175405,577439.8915508953,312.21366120211155,274,1:37:40
7.2%,357500,1429.9999999938325,-3527010.01145106,575050.9575160865,310.9219980311194,274,1:37:37
7.2%,360000,1439.999999993596,-3528252.2060112096,577789.1833262399,312.4025183725353,274,1:37:34
7.2%,362500,1449.9999999933596,-3526321.023813866,574506.7482082404,310.62775168106805,274,1:37:31
7.3%,365000,1459.999999993123,-3529578.2018552683,575748.6955561057,311.2992552161907,274,1:37:27
