#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3487635.341404481,569763.2828351029,311.437903062273,0,--
3.1%,155000,620.0000000015042,-3485024.5166455265,569820.5489313761,311.4692052424541,111,4:12:05
3.1%,157500,630.0000000015519,-3487909.7914002687,569531.0103925858,311.31094078756,112,4:10:06
3.2%,160000,640.0000000015997,-3485918.913142696,570801.3358637923,312.00531249047236,111,4:10:28
3.2%,162500,650.0000000016474,-3487689.2291186545,567386.5923125247,310.1387819449967,111,4:10:07
3.3%,165000,660.0000000016952,-3488748.132449923,568529.7922904516,310.7636656723839,112,4:09:27
3.4%,167500,670.0000000017429,-3490706.8143937904,568898.7049139842,310.96531673932265,111,4:09:46
3.4%,170000,680.0000000017907,-3483681.118575193,569926.75637526,311.52725921786686,111,4:09:42
3.5%,172500,690.0000000018384,-3489022.4359395746,570102.0196957595,311.623059776914,111,4:09:30
3.5%,175000,700.0000000018862,-3488266.8405765835,568624.5081474171,310.8154382396391,112,4:09:03
3.5%,177500,710.0000000019339,-3488722.7797454353,568697.4401051309,310.85530352520743,112,4:08:48
3.6%,180000,720.0000000019817,-3486133.8625532687,568398.8987400145,310.6921180418142,112,4:08:37
3.6%,182500,730.0000000020294,-3485876.7946446873,571882.7176158207,312.59640580133953,112,4:08:16
3.7%,185000,740.0000000020772,-3486315.199994128,568816.7441106605,310.9205162028728,112,4:08:04
3.8%,187500,750.0000000021249,-3485266.8576726355,566871.6093263954,309.85728746098084,112,4:07:49
3.8%,190000,760.0000000021727,-3488897.746583661,568312.1343123125,310.64469179965715,112,4:07:50
3.9%,192500,770.0000000022204,-3486889.9986653663,568721.1583213967,310.8682681225424,112,4:07:35
3.9%,195000,780.0000000022682,-3487179.135770183,571273.841807998,312.2635886287936,112,4:07:32
4.0%,197500,790.0000000023159,-3486038.7780312058,568831.9588686319,310.9288327309134,112,4:07:28
4.0%,200000,800.0000000023637,-3488910.388061015,571065.0763070307,312.1494754666933,112,4:07:16
4.0%,202500,810.0000000024114,-3488732.7064676173,567539.4194880229,310.22231869877146,112,4:07:07
4.1%,205000,820.0000000024592,-3490132.3937242236,568688.6076508733,310.8504756236635,112,4:07:08
4.2%,207500,830.0000000025069,-3490018.5007674117,567193.500842087,310.03323635358356,112,4:07:04
4.2%,210000,840.0000000025547,-3491907.4454639945,570022.2074091008,311.57943363963125,112,4:06:54
4.2%,212500,850.0000000026024,-3489144.099552203,568795.7056981281,310.90901641115187,112,4:06:40
4.3%,215000,860.0000000026502,-3488931.5081307106,569235.2309703331,311.14926500779234,112,4:06:31
4.3%,217500,870.0000000026979,-3484918.318019487,569042.8955712472,311.0441326920034,112,4:06:27
4.4%,220000,880.0000000027457,-3488341.272100102,569155.1742716953,311.1055052726515,112,4:06:24
4.5%,222500,890.0000000027934,-3486033.8249052297,569517.4670637001,311.30353787818393,112,4:06:12
4.5%,225000,900.0000000028411,-3490849.1163974274,570376.9122436217,311.77331859711666,112,4:06:08
4.5%,227500,910.0000000028889,-3486432.8055746146,568317.6147927972,310.64768748119957,112,4:05:58
4.6%,230000,920.0000000029366,-3485456.4438398033,568407.588768997,310.6968680923797,112,4:05:56
4.7%,232500,930.0000000029844,-3487235.5493313726,568985.2907478579,311.0126453604341,112,4:05:50
4.7%,235000,940.0000000030321,-3485360.969626885,568192.5191590276,310.5793090457385,112,4:05:38
4.8%,237500,950.0000000030799,-3487981.606599115,569973.1809418139,311.55263531719385,112,4:05:29
4.8%,240000,960.0000000031276,-3489480.5551051833,569125.235207188,311.0891403018808,112,4:05:20
