#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3515825.3117258307,571704.1570164635,309.8960722371468,0,--
3.1%,155000,620.0000000015042,-3519047.8918045145,573713.7288061483,310.9853741022091,221,2:06:24
3.1%,157500,630.0000000015519,-3515415.0313343704,576545.6094146336,312.5204139770178,221,2:06:07
3.2%,160000,640.0000000015997,-3520503.326788511,574438.055508367,311.37800024858086,221,2:05:54
3.2%,162500,650.0000000016474,-3516927.830261316,575268.9722713137,311.8284042521777,221,2:05:51
3.3%,165000,660.0000000016952,-3517970.1072807964,574202.4616423708,311.25029501359285,222,2:05:40
3.4%,167500,670.0000000017429,-3520345.169691542,575493.0698718086,311.9498778593552,222,2:05:38
3.4%,170000,680.0000000017907,-3517597.4014148396,573004.7577883764,310.60107160756917,221,2:05:36
3.5%,172500,690.0000000018384,-3517346.504170023,574276.2755548719,311.2903063398703,221,2:05:35
3.5%,175000,700.0000000018862,-3516885.5512409266,572643.1595663026,310.40506486636684,221,2:05:31
3.5%,177500,710.0000000019339,-3519000.9500800055,573488.0988841132,310.8630698898649,221,2:05:28
3.6%,180000,720.0000000019817,-3519453.475136999,575285.2192373568,311.8372110290757,221,2:05:22
3.6%,182500,730.0000000020294,-3518863.5594299026,576410.6272844787,312.4472460081587,221,2:05:18
3.7%,185000,740.0000000020772,-3519637.896158185,573389.295488494,310.8095128466803,222,2:05:11
3.8%,187500,750.0000000021249,-3519613.71779727,573946.3409933372,311.11146309820407,221,2:05:09
3.8%,190000,760.0000000021727,-3519191.818937227,573412.9354554341,310.8223270492931,222,2:05:02
3.9%,192500,770.0000000022204,-3515813.665863177,574852.7550607082,311.60279092195935,222,2:05:00
3.9%,195000,780.0000000022682,-3516603.3297133,572712.3797071311,310.4425861079026,221,2:04:58
4.0%,197500,790.0000000023159,-3516524.4721586946,574660.7076592773,311.49869034011755,222,2:04:52
