#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3529371.9187119827,573801.3291228092,310.07697590258425,0,--
3.1%,155000,620.0000000015042,-3527324.751873456,576830.0731249329,311.7136813845972,222,2:05:44
3.1%,157500,630.0000000015519,-3528978.0048588756,577012.1755309864,311.8120878547599,222,2:05:55
3.2%,160000,640.0000000015997,-3528562.164483538,576150.7829126712,311.3465991836892,222,2:05:46
3.2%,162500,650.0000000016474,-3527326.763609009,577485.177418869,312.067693737052,222,2:05:43
3.3%,165000,660.0000000016952,-3527842.5234156866,574549.1348042395,310.4810832346728,222,2:05:39
3.4%,167500,670.0000000017429,-3531801.980026448,576038.7191941256,311.28604097792805,222,2:05:35
3.4%,170000,680.0000000017907,-3527584.135054836,574774.3999106267,310.602814432249,222,2:05:27
3.5%,172500,690.0000000018384,-3528235.691810647,575994.4716019427,311.2621299849089,222,2:05:20
3.5%,175000,700.0000000018862,-3528662.9893826004,576426.5383627556,311.4956148999503,222,2:05:18
3.5%,177500,710.0000000019339,-3528845.6147227585,575217.1497333329,310.8420723759627,222,2:05:14
3.6%,180000,720.0000000019817,-3530196.342581833,575319.834932104,310.8975625156484,222,2:05:11
3.6%,182500,730.0000000020294,-3527965.9558886755,577444.6254860996,312.0457798444869,222,2:05:08
3.7%,185000,740.0000000020772,-3529763.674203232,573156.1866241982,309.728346812963,222,2:05:07
3.8%,187500,750.0000000021249,-3527642.283272993,578244.0682022031,312.4777913565475,222,2:05:04
3.8%,190000,760.0000000021727,-3530023.5344690997,574684.8579897131,310.5544267993798,222,2:04:56
3.9%,192500,770.0000000022204,-3528915.244606249,576981.783612845,311.79566434092175,222,2:04:48
3.9%,195000,780.0000000022682,-3526328.0499687158,576340.5008160365,311.44912099875717,222,2:04:43
4.0%,197500,790.0000000023159,-3530706.344753083,575635.3121416226,311.068043506418,222,2:04:40
4.0%,200000,800.0000000023637,-3527732.910895165,576197.9512983657,311.3720885467353,222,2:04:37
4.0%,202500,810.0000000024114,-3528521.0681348555,577091.245326445,311.85481644707335,222,2:04:34
4.1%,205000,820.0000000024592,-3526315.1307921708,575250.3220660978,310.85999840036396,222,2:04:34
4.2%,207500,830.0000000025069,-3526848.209460886,574486.2959613283,310.44712570026115,222,2:04:29
4.2%,210000,840.0000000025547,-3532208.019288549,573917.5728197423,310.13979293033117,222,2:04:29
4.2%,212500,850.0000000026024,-3529106.220692795,577079.4817520196,311.8484595193382,222,2:04:26
4.3%,215000,860.0000000026502,-3532400.4360604994,576203.3250275641,311.3749924607114,222,2:04:22
4.3%,217500,870.0000000026979,-3529177.2480586916,573954.1726226602,310.1595711281697,222,2:04:18
4.4%,220000,880.0000000027457,-3531966.495778756,575608.0489750768,311.0533107412482,222,2:04:16
4.5%,222500,890.0000000027934,-3528421.84216325,574976.2179895117,310.7118750711965,222,2:04:12
4.5%,225000,900.0000000028411,-3530889.0715591963,574011.6717062199,310.19064310559895,222,2:04:09
4.5%,227500,910.0000000028889,-3530960.052729726,575819.8531086138,311.1677677525472,222,2:04:04
4.6%,230000,920.0000000029366,-3532173.770063577,576014.2583528139,311.27282256361457,222,2:03:59
4.7%,232500,930.0000000029844,-3528257.938148802,577215.455388546,311.9219384254972,222,2:03:55
4.7%,235000,940.0000000030321,-3529234.1707720533,573886.1298728584,310.12280145019963,222,2:03:52
4.8%,237500,950.0000000030799,-3529609.9764104337,575045.3327682503,310.74922406377243,222,2:03:49
4.8%,240000,960.0000000031276,-3527186.0994756315,574918.799078678,310.6808464183732,222,2:03:45
4.8%,242500,970.0000000031754,-3530581.181232456,576177.8332205818,311.36121692200453,221,2:03:43
4.9%,245000,980.0000000032231,-3527463.898824688,577050.9626283596,311.8330480464623,221,2:03:39
5.0%,247500,990.0000000032709,-3527921.7625216693,577001.4878289979,311.80631231862264,221,2:03:37
5.0%,250000,1000.0000000033186,-3529606.7910615876,575769.820099019,311.140730373017,221,2:03:35
5.0%,252500,1010.0000000033664,-3530173.1417730413,575392.459051737,310.93680792385936,221,2:03:35
5.1%,255000,1020.0000000034141,-3525944.2601423394,575534.2969240678,311.01345580926596,221,2:03:31
5.2%,257500,1030.0000000032912,-3527298.0824115183,574556.2950136045,310.484952546147,221,2:03:27
5.2%,260000,1040.0000000030548,-3528648.7125120144,576741.0906650092,311.6655960793162,221,2:03:23
5.2%,262500,1050.0000000028183,-3527477.714886103,577427.5319335656,312.0365426454632,221,2:03:20
5.3%,265000,1060.0000000025818,-3527434.4018917195,577833.361417837,312.2558491768847,221,2:03:15
5.3%,267500,1070.0000000023454,-3529575.974591015,574920.8149853584,310.68193579585534,221,2:03:11
5.4%,270000,1080.000000002109,-3528452.2924700826,575461.213107082,310.9739619848215,221,2:03:07
5.5%,272500,1090.0000000018724,-3530366.4190067016,575033.4376124709,310.7427960306802,221,2:03:03
5.5%,275000,1100.000000001636,-3528442.4550139476,575934.7804552985,311.2298734366923,221,2:03:01
