,budesonide,febuxostat,ursodiol,natural_top,decoy
LEU1004,27.500000000000004,0.0,42.7536231884058,61.333333333333336,0.0
LEU1007,20.666666666666668,61.0,29.32608695652174,64.66666666666667,0.0
GLU1008,50.166666666666664,70.83333333333333,51.263285024154584,70.33333333333333,0.0
ARG1009,44.0,64.0,35.0,0.5,3.0
ASN1010,70.5,66.33333333333333,32.531400966183575,16.0,3.5000000000000004
ASP1011,93.0,66.83333333333333,48.724637681159415,27.5,1.0
ILE1013,27.500000000000004,46.333333333333336,14.449275362318842,16.0,0.0
LEU1014,62.5,50.5,42.65700483091788,6.25,0.0
GLY1032,32.0,0.0,0.0,0.0,0.0
CYS1033,67.5,0.0,0.0,1.8333333333333333,0.0
ARG1034,88.25,2.5,17.367149758454108,81.83333333333333,0.0
ASP1035,64.0,24.5,42.23913043478261,70.83333333333333,0.0
THR1036,62.666666666666664,9.5,47.31884057971015,8.333333333333334,0.0
ARG1037,43.166666666666664,71.0,85.80676328502415,81.33333333333333,0.0
