Compound,Rep,Pocket_Occ_5,Pocket_Occ_3,Pocket_Occ_1,Mean_Contacts,Mean_Min_Dist,Max_Contacts
budesonide,1,100.0,100.0,100.0,7.07,2.683349170158566,8
budesonide,2,39.5,96.5,100.0,4.33,3.2828901706837574,8
budesonide,3,6.5,20.5,98.0,1.755,3.504184284496303,6
febuxostat,1,12.0,14.000000000000002,16.5,0.755,34.16322756881983,8
febuxostat,2,100.0,100.0,100.0,6.815,3.1206640037382174,8
febuxostat,3,99.0,100.0,100.0,6.395,3.113153014678369,8
ursodiol,1,86.0,98.0,100.0,5.75,3.199086601742108,7
ursodiol,2,28.499999999999996,99.5,100.0,3.97,2.731381701999428,8
ursodiol,3,53.62318840579711,55.434782608695656,61.95652173913043,3.2644927536231885,8.388312943244046,7
natural_top,1,99.5,100.0,100.0,5.52,2.8582282759691418,7
natural_top,2,46.5,61.5,68.0,3.025,9.765377748647788,6
natural_top,3,93.0,98.0,100.0,5.42,2.9318533427297893,7
decoy,1,0.0,0.0,4.0,0.08,45.921607856028665,2
