num,system,ligand,rep,block1,block2,block3,block4,range,converged,pattern
1,WT,Febuxostat,1,-10.820000000000014,0.0,0.0,0.0,10.820000000000014,NO,EQUILIBRATION
2,WT,Febuxostat,2,-24.004000000000072,-26.324000000000083,-27.6000000000001,-27.800000000000097,3.7960000000000242,YES,STABLE
3,WT,Febuxostat,3,-21.27600000000005,-28.764000000000106,-28.880000000000106,-26.004000000000083,7.604000000000056,NO,EQUILIBRATION
4,WT,Natural,1,-26.832000000000118,-35.632000000000204,-34.280000000000186,-27.728000000000144,8.800000000000086,NO,STABLE
5,WT,Natural,2,-24.9280000000001,-20.16400000000004,-11.396000000000013,0.0,24.9280000000001,NO,DRIFT
6,WT,Natural,3,-24.312000000000097,-26.84800000000012,-30.296000000000177,-27.144000000000133,5.98400000000008,YES,STABLE
7,WT,Budesonide,1,-32.35600000000019,-37.036000000000236,-36.256000000000235,-36.500000000000234,4.680000000000042,YES,OSCILLATION
8,WT,Budesonide,2,-26.572000000000127,-20.068000000000076,-21.500000000000068,-19.58000000000003,6.992000000000097,NO,EQUILIBRATION
9,WT,Budesonide,3,-10.928000000000006,-7.18399999999999,-13.155999999999985,-12.620000000000005,5.971999999999994,YES,OSCILLATION
10,WT,Ursodiol,1,-21.77200000000005,-24.344000000000094,-20.164000000000026,-22.732000000000067,4.180000000000067,YES,OSCILLATION
11,WT,Ursodiol,2,-22.676000000000077,-25.032000000000107,-23.80800000000009,-22.85600000000008,2.35600000000003,YES,STABLE
12,WT,Ursodiol,3,-29.832000000000168,-9.512000000000011,-34.4480000000002,0.0,34.4480000000002,NO,DRIFT
13,WT,Decoy,1,-2.3799999999999977,-1.199999999999999,0.0,0.0,2.3799999999999977,YES,STABLE
14,R702W,Febuxostat,1,-26.2160000000001,-29.724000000000117,-29.500000000000114,-27.700000000000095,3.508000000000017,YES,STABLE
15,R702W,Febuxostat,2,-21.956000000000063,-19.02800000000003,-19.91200000000004,-26.3760000000001,7.34800000000007,NO,DRIFT
16,R702W,Febuxostat,3,-26.708000000000094,-28.540000000000106,-28.016000000000094,-27.4760000000001,1.8320000000000114,YES,STABLE
17,R702W,Natural,1,-31.548000000000183,-40.00800000000025,-28.47200000000013,-22.23600000000007,17.77200000000018,NO,DRIFT
18,R702W,Natural,2,-29.94800000000016,-41.40400000000025,-41.34000000000025,-27.644000000000116,13.760000000000137,NO,DRIFT
19,R702W,Natural,3,-25.672000000000107,-23.304000000000077,-28.768000000000143,-37.81200000000023,14.508000000000155,NO,DRIFT
20,G908R,Febuxostat,1,-17.03200000000003,-16.720000000000002,-17.51600000000001,-19.224000000000025,2.5040000000000227,YES,STABLE
21,G908R,Febuxostat,2,-24.66400000000007,-27.780000000000097,-26.700000000000095,-28.936000000000107,4.2720000000000375,YES,OSCILLATION
22,G908R,Febuxostat,3,-27.084000000000092,-26.752000000000095,-29.308000000000117,-25.308000000000078,4.000000000000039,YES,OSCILLATION
23,G908R,Natural,1,-19.55600000000003,-18.532000000000025,-21.228000000000048,-19.952000000000034,2.696000000000023,YES,OSCILLATION
24,G908R,Natural,2,-24.8880000000001,-18.42000000000003,-18.172000000000015,-18.300000000000022,6.716000000000086,NO,EQUILIBRATION
25,G908R,Natural,3,-30.480000000000178,-30.88000000000018,-24.872000000000103,-22.620000000000065,8.260000000000115,NO,DRIFT
