frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
0,17.0459,16.1948,19.0815,20.6665,19.9179,19.6999,24.0724,17.2701,21.1377,16.0182,21.4292,20.8048
1,17.0640,15.8812,19.6960,21.1914,20.5136,20.6435,24.0341,17.1337,21.3329,15.3893,21.6271,21.2326
2,17.7028,17.6228,20.3484,21.2117,20.2073,20.1756,23.4950,17.3337,20.6042,16.4022,22.7789,21.3781
3,17.8380,17.7725,20.2271,22.0330,19.7224,20.1430,23.7702,17.5002,20.4467,19.6055,23.2527,22.1837
4,17.6272,16.0844,20.1536,21.9535,20.5663,20.8304,23.2330,17.5268,20.8295,16.5485,24.3405,22.4366
5,20.7496,18.4505,19.5746,22.6835,20.6293,21.0692,23.9524,17.6407,20.6398,16.2900,23.7478,21.9061
6,18.1657,17.2341,18.5862,22.5319,20.5511,21.6930,23.9724,18.0596,20.4404,16.0557,23.4576,20.2670
7,17.7231,17.7590,17.5243,23.0594,20.1491,21.9391,24.4008,18.2226,21.1935,16.4777,23.4582,20.2049
8,18.0676,17.8509,17.5761,22.5120,22.9453,21.5991,23.5498,18.5136,20.0403,16.7769,23.2167,20.8294
9,17.8573,17.2322,17.7434,22.5868,19.7903,22.5136,23.7390,18.2813,20.0456,16.7292,22.4007,20.8260
10,17.0022,15.7136,16.9560,22.6888,19.1293,22.2849,24.1504,18.4202,20.3308,16.6279,22.5365,20.2451
11,17.2147,16.0863,17.1264,23.0449,19.0132,21.5718,24.6305,18.6693,21.0639,16.6107,22.9253,19.4355
12,18.2356,15.2871,17.4239,21.7322,19.1803,22.2646,24.7519,18.2266,21.9699,17.9068,22.9008,18.3846
13,18.7732,17.7394,17.4264,22.6756,19.0998,22.2354,25.3866,17.8252,21.3877,17.7211,23.5496,18.2408
