frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
0,184.6818,129.8196,181.4516,126.5382,183.1833,129.6522,128.8210,129.0438,183.9217,131.1435,131.2493,183.4553
1,184.1509,130.1960,180.5288,126.1230,183.4232,129.8936,128.6978,129.5458,184.9792,131.0723,130.6229,183.2950
2,183.2460,183.4758,127.1492,125.8640,183.3766,129.9037,128.8957,129.5135,185.0505,130.6310,130.7827,182.7800
3,183.4180,130.0830,127.0363,125.6611,184.3832,130.3423,128.7776,129.1822,185.3933,130.8391,130.0713,182.3337
4,183.0263,130.2896,126.8022,125.0460,184.2211,130.5285,128.8594,129.2158,185.9645,130.5029,129.4458,181.9824
5,182.9787,129.6445,127.1316,124.3366,184.4639,130.5607,128.9070,128.7209,186.9299,130.5990,130.1801,182.3087
6,182.7928,129.1966,127.5072,124.4163,184.8719,129.9099,129.2575,128.2139,186.4010,131.1731,130.6712,182.4243
7,182.9847,129.9517,128.5937,124.5597,184.4489,129.6493,129.1089,127.7709,185.7596,130.6270,131.1053,183.2239
8,182.7993,129.5357,128.4299,124.4261,130.3078,130.4122,128.8832,127.4551,186.1698,130.7541,131.0632,182.3696
9,182.8901,129.9608,128.2287,124.3487,185.2908,129.8967,129.6036,127.7328,186.0582,131.3253,131.4304,181.8280
10,183.7121,182.0323,129.4258,124.2471,185.4768,129.4661,129.8742,127.4776,184.8184,130.8687,130.8819,182.8152
11,183.9450,182.0282,129.2163,124.0089,184.5235,130.1553,129.5452,127.0425,184.0613,130.5755,130.7015,182.7462
12,132.7394,181.9531,128.7262,125.7963,184.7859,130.1596,129.2209,127.6220,184.5210,131.2182,130.7017,183.3786
13,132.8381,129.0936,128.7795,125.2265,184.9543,129.5945,129.0845,127.8921,184.8097,131.1298,130.9754,182.4593
14,133.3500,128.9058,128.8840,125.4608,184.5780,129.5146,129.0461,127.0865,185.2285,131.0783,131.2498,183.1584
15,132.9762,128.9672,129.3338,125.5564,184.9200,129.8114,128.9834,127.5673,131.0235,131.4686,131.6902,129.8079
16,133.3083,130.1201,128.4351,126.0622,184.9617,129.5799,128.7262,127.1796,131.9875,131.2106,131.5755,130.0967
17,132.9420,130.0332,129.5921,125.1006,185.5753,129.6922,129.2836,127.1471,132.6554,131.8122,131.2548,182.6515
18,132.3163,129.7368,129.3623,126.0025,185.6418,129.4776,129.3326,127.5690,132.8097,132.3165,130.9836,130.2190
19,133.3848,129.8061,129.4666,125.2629,185.0255,129.1505,129.1664,127.2132,186.2448,132.1724,185.6223,129.9063
20,133.3853,129.9455,129.7199,124.4498,183.8996,129.2931,129.2852,126.5085,185.8658,132.1117,131.1860,129.9819
21,132.5796,129.8410,128.9675,125.0222,184.9885,129.4390,128.6859,126.8578,186.5110,131.7972,131.5207,182.1917
22,132.7175,129.7810,128.8482,125.0474,185.3606,129.8186,128.3280,127.2158,187.1724,131.7578,131.4655,183.0563
23,132.2938,128.6052,129.2037,125.2622,185.2484,130.4370,128.9698,128.0819,187.5583,132.3391,130.9806,183.1569
24,132.8117,129.2094,128.6100,125.3752,185.4593,130.6799,129.0379,127.5002,187.0778,131.8372,130.5614,129.5122
25,132.7327,129.0577,128.7883,125.5764,185.5038,130.8058,129.2662,127.0325,186.6409,131.8960,184.2053,129.4264
26,132.5471,129.3735,129.0629,125.3171,186.1364,130.2727,128.7310,127.1667,187.1962,132.1427,131.2778,129.6976
27,132.6146,129.5717,128.7454,125.7213,186.0152,130.5251,129.3574,126.9058,187.7705,132.3229,131.3327,129.2598
28,132.6750,128.5493,130.3289,125.5435,185.2855,130.1646,129.6741,127.5552,186.7395,131.8124,131.2569,129.4183
29,133.4849,128.6902,129.9715,125.8075,185.9248,129.3822,129.6731,127.3608,186.8202,132.2418,130.9994,183.0864
30,184.9869,129.2493,130.3111,125.5846,185.1164,129.1017,129.4775,127.1968,186.1198,132.1205,131.0589,129.4270
31,133.3913,129.4480,129.8802,125.5736,185.1798,130.2760,128.8736,126.9315,186.8009,131.7490,130.7025,129.3030
32,184.9788,129.7062,130.2300,125.5674,185.6135,131.2757,129.2774,127.0807,186.5297,182.6578,130.7158,129.8767
33,184.7923,129.5055,129.7783,125.4396,185.3736,131.2447,128.9181,127.3302,186.6929,183.1019,183.9336,130.2218
34,185.1373,129.3377,129.6512,126.2008,185.3775,131.8609,128.5824,127.3941,186.2073,183.0027,184.5496,129.6393
35,185.0160,129.2949,130.2553,126.0834,185.7490,131.1013,128.9176,127.6910,186.3130,184.3075,184.3546,129.6645
36,184.7725,129.7477,129.7735,126.1202,186.3927,131.0166,129.4703,127.2947,185.8542,184.6079,184.0085,130.2136
37,185.6481,129.4803,129.8257,126.7115,185.8724,131.4368,129.6483,127.6533,186.1466,184.2471,130.0696,130.3299
38,185.8963,129.3743,129.8543,126.7864,185.4204,131.3939,129.6486,128.0171,186.5401,185.4397,129.8541,130.2424
39,185.9830,128.7041,130.0599,127.3215,186.1910,130.8299,130.1596,127.4556,186.8209,185.5875,183.9282,129.7720
40,185.6958,129.0695,129.9185,127.1085,186.2962,131.0482,130.5213,126.9639,187.2271,185.1370,130.5453,129.3985
41,185.8835,129.2825,129.8482,126.1763,185.0308,130.4119,130.2726,126.8601,186.8374,185.3634,130.2329,129.3463
42,185.8573,129.9646,130.7308,126.5037,185.7904,130.6078,129.6867,127.8618,187.8915,185.1627,130.3355,129.0581
43,185.9550,130.8296,131.2256,126.3247,185.0272,130.4347,129.1094,127.8110,187.4476,185.2150,184.1863,129.2143
44,185.8198,130.0645,131.0867,126.1124,184.6977,131.4238,129.3179,127.8133,187.3675,184.4150,184.1758,129.4037
45,185.5382,130.1874,130.8647,126.1170,184.0728,131.5751,129.4527,128.0600,187.7210,184.2801,183.4042,129.9622
46,186.5158,129.8552,130.9028,125.9796,183.6817,131.0283,129.4710,127.9072,186.2995,183.7717,184.2558,129.3351
47,133.4427,130.6296,130.8815,126.0084,183.5245,131.9065,129.0293,127.8881,187.0419,183.8350,183.3614,129.2854
48,185.1028,183.1651,130.2524,126.2007,184.8911,132.0437,128.9778,128.3825,187.7220,184.4755,184.0137,129.3905
49,185.2271,131.3436,130.5243,126.3864,184.4626,131.5935,129.2829,128.5854,187.1387,184.5102,184.2985,129.9800
50,186.0949,131.6998,130.7018,126.0038,184.4975,131.9326,128.4197,129.1218,187.2235,184.0060,184.2016,130.0808
51,186.2760,131.9609,130.4913,182.5283,185.1618,132.3714,128.3910,129.0475,187.0748,183.9425,183.6240,129.5320
52,185.8170,131.6136,130.4999,183.3663,185.3290,132.6378,129.0905,128.5170,187.5549,183.4456,183.6219,129.6919
53,186.6233,132.2978,130.6910,183.2305,185.4365,131.8551,129.2603,128.3428,185.8107,184.1730,184.5034,130.0823
54,185.9462,132.0111,130.3714,126.2572,185.0599,131.9488,129.1867,128.1937,186.1458,183.8461,184.5048,130.0381
55,185.9887,131.6005,129.7955,181.1067,185.2045,131.5547,128.6865,128.1439,187.1259,183.8718,130.7167,130.4530
56,185.8863,132.1297,129.4462,181.3306,184.4876,131.7957,129.5087,127.6755,133.7269,183.4451,130.5644,130.5972
57,185.4253,131.9124,130.5871,125.7688,184.1240,132.0825,129.6806,127.7418,132.8886,183.8839,183.7920,130.2376
58,185.1046,131.3344,130.3768,125.8104,183.3255,131.8104,129.6134,127.5904,133.6293,183.1913,130.7545,130.2926
59,184.6200,132.0157,130.2460,181.4597,183.7993,132.3818,129.3340,127.0162,186.6233,183.6826,130.5025,130.7022
60,186.2268,131.7849,130.1117,125.7985,184.4495,131.8414,129.3641,128.1277,186.3385,183.7992,130.0636,130.4825
61,185.7108,131.8266,130.3742,126.1523,184.2922,131.9132,129.0177,128.1525,187.3073,184.3665,130.5958,129.6792
62,185.8896,131.6238,130.2989,126.4842,184.1349,131.6718,128.6406,128.0195,186.4896,184.3580,130.9990,129.6652
63,185.3139,132.4229,130.0268,181.6653,183.8466,131.9671,128.6975,127.8721,186.5008,184.9907,130.7452,129.7259
64,185.4693,132.4969,130.4816,182.4441,183.2165,131.8747,128.3626,127.9910,187.7922,184.7627,130.8104,129.4217
65,186.3293,131.5503,130.2330,182.9429,183.5081,132.0366,127.5169,127.3715,133.6850,184.2144,184.2093,129.8199
66,185.8140,131.5094,130.1416,183.3723,182.9983,131.6948,127.4849,128.4053,186.9382,183.3306,184.0610,130.0791
67,185.9721,131.8037,130.4422,183.0395,182.8567,131.8762,127.3074,128.6797,187.9904,184.6989,183.8951,130.1112
68,185.7637,131.6672,130.2445,181.6951,183.0725,131.2706,127.7464,128.3750,187.5442,183.8155,183.5206,129.3601
69,185.9371,131.4183,130.1472,181.9274,183.6711,131.6185,128.1379,127.3485,187.7254,184.6503,184.3899,130.0207
70,184.8161,131.9350,130.4094,182.3549,184.3725,131.8972,127.9284,128.2102,186.8746,184.2221,184.1990,130.0533
71,184.9376,131.9571,130.3977,181.9437,184.9847,131.4948,128.3398,128.2403,187.6558,185.4962,183.6656,129.6841
