num,phase,system,ligand,rep,n_frames,DeltaE_mean,DeltaE_std,DeltaE_min,DeltaE_max,contacts_mean,hbonds_mean,note
1,Phase6,WT,Febuxostat,1,50,-7.526000000000006,8.864554359921332,-28.5000000000001,0.0,49.06,0.86,Lead
2,Phase6,WT,Febuxostat,2,50,-25.340000000000078,5.109872796851247,-36.00000000000013,-12.499999999999979,160.84,3.0,
3,Phase6,WT,Febuxostat,3,50,-23.780000000000058,5.9393265611515735,-38.00000000000015,-12.999999999999979,153.96,2.38,Using rep1 PDB
4,Phase6,WT,Natural,1,50,-28.93200000000013,7.087776520179025,-43.70000000000026,-16.299999999999965,212.8,2.88,Backup
5,Phase6,WT,Natural,2,50,-24.026000000000085,4.069683525779431,-33.00000000000021,-14.999999999999966,184.06,1.96,
6,Phase6,WT,Natural,3,50,-23.746000000000084,4.565970214532789,-31.900000000000208,-12.699999999999973,187.06,1.28,
7,Phase6,WT,Budesonide,1,50,-35.702000000000226,6.559588096824435,-48.30000000000033,-24.400000000000098,260.66,2.62,Pos Control
8,Phase6,WT,Budesonide,2,50,-28.520000000000156,6.0976060876380735,-39.100000000000264,-14.899999999999975,205.72,1.34,
9,Phase6,WT,Budesonide,3,50,-9.043999999999997,5.3036651478011025,-24.600000000000094,-1.0999999999999999,61.68,1.34,
10,Phase6,WT,Ursodiol,1,50,-23.18400000000008,5.57072203578682,-34.10000000000022,-12.199999999999973,181.44,1.14,Using rep3 PDB
11,Phase6,WT,Ursodiol,2,50,-22.344000000000065,5.787198285872092,-34.000000000000234,-11.09999999999998,173.68,1.2,Using rep3 PDB
12,Phase6,WT,Ursodiol,3,50,-29.312000000000168,5.309939359352496,-40.300000000000274,-13.699999999999967,229.56,1.74,
13,Phase6,WT,Decoy,1,50,-0.022,0.15399999999999997,-1.0999999999999999,0.0,0.18,0.0,NEG CONTROL
14,PhaseA1,R702W,Febuxostat,1,50,-26.67600000000009,4.178064623722358,-34.50000000000018,-13.999999999999975,177.88,2.4,
15,PhaseA1,R702W,Febuxostat,2,50,-21.970000000000063,4.226452413076531,-31.600000000000154,-12.899999999999974,158.18,0.86,
16,PhaseA1,R702W,Febuxostat,3,50,-26.97000000000009,4.814571632035435,-36.300000000000125,-17.799999999999994,176.38,2.8,
17,PhaseA1,R702W,Natural,1,50,-33.148000000000195,6.694153867368217,-47.00000000000032,-19.700000000000024,238.92,3.24,
18,PhaseA1,R702W,Natural,2,50,-28.884000000000142,9.080118060906566,-49.50000000000034,-9.599999999999982,213.64,2.58,
19,PhaseA1,R702W,Natural,3,50,-26.078000000000117,4.479209305223475,-39.40000000000029,-16.999999999999982,200.1,1.92,
20,PhaseA1,G908R,Febuxostat,1,50,-14.71800000000001,6.951480130159364,-30.60000000000017,-1.0999999999999999,101.74,1.04,OUTLIER 45.8%
21,PhaseA1,G908R,Febuxostat,2,50,-26.33800000000009,6.250564454511342,-38.70000000000024,-13.499999999999973,174.7,2.52,
22,PhaseA1,G908R,Febuxostat,3,50,-28.73000000000011,4.217214720642078,-36.900000000000155,-17.900000000000006,187.1,2.92,
23,PhaseA1,G908R,Natural,1,50,-18.66400000000001,2.8069029195895205,-25.30000000000011,-11.699999999999974,147.04,0.96,
24,PhaseA1,G908R,Natural,2,50,-24.39400000000009,3.82049263839108,-32.7000000000002,-16.099999999999966,190.62,1.36,
25,PhaseA1,G908R,Natural,3,50,-30.230000000000178,4.4314444597671026,-38.90000000000027,-16.599999999999966,227.5,2.4,
