#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3515859.1993610896,575090.3498019662,311.7048890517489,0,--
3.1%,155000,620.0000000015042,-3518390.5371207055,573670.1248590884,310.93511251420017,113,4:06:15
3.1%,157500,630.0000000015519,-3516022.0899413247,575145.295630961,311.73467025662666,112,4:09:13
3.2%,160000,640.0000000015997,-3517917.6163204685,573561.6173243732,310.87630031350625,112,4:09:04
3.2%,162500,650.0000000016474,-3518625.095000852,572659.781397543,310.38749595848225,112,4:07:54
3.3%,165000,660.0000000016952,-3520946.685783053,573413.9728819779,310.79627550600986,113,4:07:16
3.4%,167500,670.0000000017429,-3520334.7691055182,573980.8325203713,311.1035192647587,112,4:09:27
3.4%,170000,680.0000000017907,-3517892.4403796718,575056.5541115117,311.6865714396603,112,4:08:43
3.5%,172500,690.0000000018384,-3517135.1879184786,572866.0175372566,310.499278069015,112,4:08:04
3.5%,175000,700.0000000018862,-3516968.3410480004,576025.8718420991,312.2119516269173,112,4:07:28
3.5%,177500,710.0000000019339,-3519153.176867513,575754.8630282287,312.06506206028035,112,4:07:30
3.6%,180000,720.0000000019817,-3516437.881788967,572953.1482420209,310.54650380784176,112,4:07:33
3.6%,182500,730.0000000020294,-3519437.5270174965,575483.4723733601,311.917965531892,112,4:07:13
3.7%,185000,740.0000000020772,-3517476.7336113043,574399.8108038197,311.3306098069706,112,4:06:51
3.8%,187500,750.0000000021249,-3520160.009367125,574082.0604031186,311.15838581915585,112,4:07:32
3.8%,190000,760.0000000021727,-3515673.1909300815,574147.6336992092,311.19392722058905,112,4:07:09
3.9%,192500,770.0000000022204,-3518944.884000104,574155.0508591165,311.1979473976043,112,4:06:46
3.9%,195000,780.0000000022682,-3516023.989896098,573036.5736660457,310.591721246369,112,4:06:26
4.0%,197500,790.0000000023159,-3514679.816198103,573685.815892918,310.94361721604514,112,4:06:51
