#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3516150.923997715,575823.3313243419,312.103579083894,0,--
3.1%,155000,620.0000000015042,-3519423.8073242456,576234.3842561137,312.326375007956,111,4:10:43
3.1%,157500,630.0000000015519,-3517639.806450572,573508.0359283589,310.8486594923921,111,4:10:10
3.2%,160000,640.0000000015997,-3520485.3640350755,574423.7925494788,311.3450112438294,112,4:10:01
3.2%,162500,650.0000000016474,-3514396.4043099806,573620.4384516538,310.9095830915414,112,4:09:44
3.3%,165000,660.0000000016952,-3519028.1044495553,574888.0264440218,311.59663192700964,112,4:09:40
3.4%,167500,670.0000000017429,-3516815.915590631,575105.3227472394,311.71440929077136,112,4:09:29
3.4%,170000,680.0000000017907,-3519180.2466806695,575466.5662142404,311.91020785056986,112,4:09:18
3.5%,172500,690.0000000018384,-3518424.678852087,574246.3485033859,311.2488343109751,112,4:09:17
3.5%,175000,700.0000000018862,-3521189.5378349647,573319.1961673037,310.746305936896,112,4:09:08
3.5%,177500,710.0000000019339,-3518593.8616616875,575358.5755979056,311.85167556118165,112,4:09:03
3.6%,180000,720.0000000019817,-3519714.29043545,573896.8989375547,311.05942819581406,112,4:08:51
3.6%,182500,730.0000000020294,-3514962.6337321177,574074.5140240235,311.15569783473046,112,4:08:44
3.7%,185000,740.0000000020772,-3519888.764546832,573866.1423778697,311.0427577487589,112,4:08:32
3.8%,187500,750.0000000021249,-3518414.7513454333,572545.6296875526,310.32702305296976,112,4:08:23
3.8%,190000,760.0000000021727,-3518531.2251566797,577080.9373020241,312.78521754027463,112,4:08:12
3.9%,192500,770.0000000022204,-3520495.511475453,572413.3585188481,310.25533039496764,112,4:08:05
3.9%,195000,780.0000000022682,-3520458.881711744,575149.8719383429,311.73855551971405,112,4:08:00
4.0%,197500,790.0000000023159,-3522691.8019941654,575578.588025867,311.9709250991463,112,4:08:03
4.0%,200000,800.0000000023637,-3521438.441848172,575121.5757498507,311.72321862517987,111,4:07:58
4.0%,202500,810.0000000024114,-3518362.5049043894,573466.708409118,310.8262594506292,111,4:07:50
4.1%,205000,820.0000000024592,-3518356.9402705617,572740.5647265213,310.4326803267226,112,4:07:40
4.2%,207500,830.0000000025069,-3515695.703776121,574373.9153215768,311.3179771510857,112,4:07:31
4.2%,210000,840.0000000025547,-3519498.798091499,572817.2553256487,310.47424760815716,112,4:07:23
4.2%,212500,850.0000000026024,-3512888.2465570774,573198.8962453518,310.6811018470958,112,4:07:16
4.3%,215000,860.0000000026502,-3521010.452704992,572760.0867402878,310.44326150681036,112,4:07:08
4.3%,217500,870.0000000026979,-3517461.8843090925,572195.0454953621,310.13700195587177,112,4:07:00
4.4%,220000,880.0000000027457,-3517961.534664361,574432.6017118322,311.3497859220157,112,4:06:54
4.5%,222500,890.0000000027934,-3519198.526622735,574883.8392862051,311.5943624341466,112,4:06:47
4.5%,225000,900.0000000028411,-3518004.527979767,576868.6106310165,312.6701337804624,112,4:06:38
4.5%,227500,910.0000000028889,-3516712.1947955173,573262.4565865216,310.71555236149453,112,4:06:30
4.6%,230000,920.0000000029366,-3519060.145112645,572613.039609378,310.3635600891109,112,4:06:23
4.7%,232500,930.0000000029844,-3518169.184161892,573256.6916404861,310.7124276873227,112,4:06:15
4.7%,235000,940.0000000030321,-3518920.201803807,575996.5946817729,312.1974900302495,112,4:06:07
4.8%,237500,950.0000000030799,-3520650.597932052,573081.983332417,310.6177335593188,112,4:05:57
4.8%,240000,960.0000000031276,-3516644.739740476,572348.1886773483,310.22000751089206,112,4:05:49
4.8%,242500,970.0000000031754,-3515218.535036303,571419.689594595,309.71674918296543,112,4:05:41
4.9%,245000,980.0000000032231,-3513994.1147649027,572630.948100877,310.37326671958033,112,4:05:31
5.0%,247500,990.0000000032709,-3519320.354980208,574064.3661187484,311.1501975408308,112,4:05:23
5.0%,250000,1000.0000000033186,-3516208.4290597048,572655.9017829155,310.38679193304745,112,4:05:15
5.0%,252500,1010.0000000033664,-3513123.323400177,573954.905769636,311.0908686375591,112,4:05:13
5.1%,255000,1020.0000000034141,-3519231.0312031396,575571.921862263,311.9673119535748,112,4:05:04
5.2%,257500,1030.0000000032912,-3519043.862902792,573092.1251888347,310.62323057466074,112,4:04:56
5.2%,260000,1040.0000000030548,-3520342.5585945807,575221.0625395419,311.77714173222523,112,4:04:49
5.2%,262500,1050.0000000028183,-3519345.4202439655,574277.1484071647,311.26552825108115,112,4:04:41
5.3%,265000,1060.0000000025818,-3518710.1335412003,576808.0132838718,312.637289246561,112,4:04:32
5.3%,267500,1070.0000000023454,-3520286.5857841037,572940.1397373388,310.5408525243107,112,4:04:25
5.4%,270000,1080.000000002109,-3516963.515618723,575860.1936857447,312.12355895324174,112,4:04:17
5.5%,272500,1090.0000000018724,-3519781.610963518,573626.8585089678,310.91306284436945,112,4:04:09
5.5%,275000,1100.000000001636,-3516553.5036785267,574674.205589131,311.48073830050316,112,4:04:01
5.5%,277500,1110.0000000013995,-3521795.1578020323,572007.6596511675,310.03543644183065,112,4:03:53
5.6%,280000,1120.000000001163,-3518642.74155136,571970.0249771816,310.0150379692269,112,4:03:46
5.7%,282500,1130.0000000009265,-3520165.5114907213,575010.3093034816,311.6629107941931,112,4:03:38
5.7%,285000,1140.00000000069,-3519813.109200932,573111.6267938603,310.633800692951,112,4:03:30
5.8%,287500,1150.0000000004536,-3515605.5199559927,574171.6924920621,311.208369802042,112,4:03:22
5.8%,290000,1160.0000000002171,-3519127.475869758,572361.3132514155,310.22712119718693,112,4:03:15
5.8%,292500,1169.9999999999807,-3518424.143819485,572559.386649353,310.33447950146996,112,4:03:07
5.9%,295000,1179.9999999997442,-3517737.8752103,572494.8633928332,310.29950707468817,112,4:03:00
6.0%,297500,1189.9999999995077,-3521314.155594703,573051.4796016011,310.60120014873064,112,4:02:52
6.0%,300000,1199.9999999992713,-3519321.9654781558,572376.5786368491,310.23539523050715,112,4:02:44
6.0%,302500,1209.9999999990348,-3518898.225432778,576204.2132979728,312.31002196439573,112,4:02:37
6.1%,305000,1219.9999999987983,-3518760.877740605,574506.903695321,311.39005854335346,112,4:02:28
6.2%,307500,1229.9999999985619,-3518474.7297337726,576799.2859959832,312.6325589453774,112,4:02:20
6.2%,310000,1239.9999999983254,-3518610.388143899,576345.9156176392,312.3868264263314,112,4:02:12
6.2%,312500,1249.999999998089,-3516408.071368482,572345.8172764123,310.2187221813833,112,4:02:04
6.3%,315000,1259.9999999978525,-3518550.213319542,574928.3970175888,311.61851329202995,112,4:01:57
6.3%,317500,1269.999999997616,-3523312.833515685,574869.8915727469,311.58680259581854,112,4:01:49
6.4%,320000,1279.9999999973795,-3517200.5403805207,573807.01774018,311.01071144213813,112,4:01:41
6.5%,322500,1289.999999997143,-3516662.786590779,574152.4829941904,311.1979580095494,112,4:01:33
6.5%,325000,1299.9999999969066,-3518404.4611511175,574558.0506989192,311.417780870696,112,4:01:25
6.5%,327500,1309.99999999667,-3518481.3715009056,573575.7235625513,310.88534705217296,112,4:01:18
6.6%,330000,1319.9999999964336,-3517423.3090579957,575135.941835979,311.7310052268234,112,4:01:10
6.7%,332500,1329.9999999961972,-3517245.0357258003,573803.4409317716,311.0087727664277,112,4:01:02
6.7%,335000,1339.9999999959607,-3516303.58418224,575680.4398476135,312.0261300836859,112,4:00:54
6.8%,337500,1349.9999999957242,-3519701.5747665334,572342.980018418,310.217184351416,112,4:00:47
6.8%,340000,1359.9999999954878,-3519612.826052187,573901.8356388528,311.06210395078995,112,4:00:39
6.8%,342500,1369.9999999952513,-3522057.3198428284,574074.106929265,311.1554771841867,112,4:00:30
6.9%,345000,1379.9999999950148,-3521546.511695223,574511.6181299452,311.3926138269614,112,4:00:22
7.0%,347500,1389.9999999947784,-3520440.95012578,574966.8128752043,311.63933517610985,112,4:00:15
7.0%,350000,1399.999999994542,-3519203.562310029,575646.8312336868,312.00791378690883,112,4:00:06
7.0%,352500,1409.9999999943054,-3519294.1991695445,576655.1153701681,312.55441663007355,112,3:59:58
7.1%,355000,1419.999999994069,-3519772.575362919,573818.7415820342,311.0170659137343,112,3:59:51
7.2%,357500,1429.9999999938325,-3516849.4269047137,575991.0487529954,312.194484066221,112,3:59:43
7.2%,360000,1439.999999993596,-3518109.634070486,572736.2203480909,310.43032561828466,112,3:59:35
7.2%,362500,1449.9999999933596,-3519739.4503447823,571431.9703781891,309.7234055240777,112,3:59:27
7.3%,365000,1459.999999993123,-3519157.411971068,574887.1027903638,311.5961312949636,112,3:59:19
7.3%,367500,1469.9999999928866,-3521000.861476613,573997.9854368635,311.11421836584555,112,3:59:11
7.4%,370000,1479.9999999926501,-3521135.937199736,575261.1737161798,311.7988825008063,112,3:59:04
7.5%,372500,1489.9999999924137,-3516284.77590541,571971.6555735527,310.01592177322686,112,3:58:56
7.5%,375000,1499.9999999921772,-3519384.908048462,574563.194578357,311.4205689188621,112,3:58:48
7.5%,377500,1509.9999999919407,-3517477.1043770146,574571.309190272,311.4249671418652,112,3:58:41
7.6%,380000,1519.9999999917043,-3521100.2219114807,572779.7132452419,310.4538993224525,112,3:58:33
7.7%,382500,1529.9999999914678,-3522352.1821313314,573705.307340665,310.9555831102491,112,3:58:25
7.7%,385000,1539.9999999912313,-3519537.0412160475,574512.2004948941,311.3929294761805,112,3:58:18
7.8%,387500,1549.9999999909949,-3516790.4012434967,575044.2377011061,311.6813004178071,112,3:58:10
7.8%,390000,1559.9999999907584,-3518700.742310064,575140.0656497551,311.73324038640965,112,3:58:02
7.8%,392500,1569.999999990522,-3518173.3861910254,574988.9509382073,311.65133428820104,112,3:57:54
7.9%,395000,1579.9999999902855,-3520219.1532924175,572635.6934334573,310.3758387502739,112,3:57:47
8.0%,397500,1589.999999990049,-3516780.0857799873,571510.3287221463,309.7658767444499,112,3:57:39
8.0%,400000,1599.9999999898125,-3517832.860922236,575464.0187499926,311.9088270925039,112,3:57:31
8.1%,402500,1609.999999989576,-3520629.092626227,572590.9559559682,310.35159046771224,112,3:57:23
8.1%,405000,1619.9999999893396,-3520576.119438622,574889.741269431,311.59756138422085,112,3:57:15
8.2%,407500,1629.9999999891031,-3516823.749474967,573884.1575944162,311.0525222255632,112,3:57:07
8.2%,410000,1639.9999999888666,-3521234.042560544,574139.7534291447,311.19105842317487,112,3:56:59
8.2%,412500,1649.9999999886302,-3520687.5528338794,572099.4420234737,310.0851836565323,112,3:56:52
8.3%,415000,1659.9999999883937,-3515252.5960040726,573637.5441543027,310.91885460022996,112,3:56:44
8.3%,417500,1669.9999999881572,-3519174.498775432,572242.3350006912,310.16263347002456,112,3:56:37
8.4%,420000,1679.9999999879208,-3521440.6475251727,572454.1820546727,310.2774572713005,112,3:56:29
8.4%,422500,1689.9999999876843,-3520475.0472478643,574601.8773202461,311.4415354576173,112,3:56:22
8.5%,425000,1699.9999999874478,-3519030.3276339564,573844.5523535144,311.0310556805945,112,3:56:14
8.6%,427500,1709.9999999872114,-3523234.0949875414,574371.4151693115,311.3166220367168,112,3:56:06
8.6%,430000,1719.999999986975,-3521794.920567017,573467.2422488747,310.82654879857614,112,3:55:58
8.7%,432500,1729.9999999867384,-3519542.3133940585,574544.8491175077,311.41062544543973,112,3:55:50
8.7%,435000,1739.999999986502,-3516604.245877696,572909.4772058037,310.52423304171026,112,3:55:42
8.8%,437500,1749.9999999862655,-3521004.825589558,574265.5029864289,311.25921628473,112,3:55:34
8.8%,440000,1759.999999986029,-3519192.8019976746,575990.240521855,312.1940459946494,112,3:55:27
8.8%,442500,1769.9999999857926,-3518975.606393149,572419.8183750516,310.2588317193007,112,3:55:19
8.9%,445000,1779.999999985556,-3519702.709777463,575411.6785536594,311.88045803950286,112,3:55:11
8.9%,447500,1789.9999999853196,-3520986.2644152977,574067.4342247746,311.1518604933714,112,3:55:03
9.0%,450000,1799.9999999850832,-3516406.222955484,573400.2206661007,310.7902222471467,112,3:54:55
9.1%,452500,1809.9999999848467,-3517255.935712587,572319.5506596561,310.204485340578,112,3:54:48
9.1%,455000,1819.9999999846102,-3520821.9764010925,574279.2904624362,311.2666892723189,112,3:54:40
9.2%,457500,1829.9999999843737,-3517558.4060975816,573783.2534564182,310.9978308976847,112,3:54:33
9.2%,460000,1839.9999999841373,-3520730.100525556,573759.5192531459,310.98496665723974,112,3:54:25
9.2%,462500,1849.9999999839008,-3519982.110678483,574635.5700101941,311.4597973246687,112,3:54:17
9.3%,465000,1859.9999999836643,-3517695.2290026043,570756.8338690122,309.35747293777604,112,3:54:10
9.3%,467500,1869.9999999834279,-3517025.595294757,575124.7633672191,311.72494635439006,112,3:54:02
9.4%,470000,1879.9999999831914,-3518166.768633565,574812.3998693681,311.55564136039084,112,3:53:54
9.4%,472500,1889.999999982955,-3519608.6232422832,574449.52545455,311.3589588061043,112,3:53:46
9.5%,475000,1899.9999999827185,-3520239.3683071863,573591.8180785892,310.89407048484026,112,3:53:38
9.6%,477500,1909.999999982482,-3521466.1705220323,572086.9219967179,310.07839764257955,112,3:53:30
9.6%,480000,1919.9999999822455,-3517497.9596134294,574609.4392480867,311.44563411881325,112,3:53:23
9.7%,482500,1929.999999982009,-3519819.7908773012,573606.6108900218,310.9020883770333,112,3:53:16
9.7%,485000,1939.9999999817726,-3515831.7819880005,574257.5433864528,311.2549020801719,112,3:53:07
9.8%,487500,1949.9999999815361,-3517854.6086681467,573644.5084319233,310.9226293273952,112,3:53:00
9.8%,490000,1959.9999999812997,-3516774.8265603203,573162.3597832727,310.661298619332,112,3:52:52
9.8%,492500,1969.9999999810632,-3518162.3216425013,573296.8749858206,310.73420757225654,112,3:52:44
9.9%,495000,1979.9999999808267,-3518770.331492316,572292.5088664189,310.1898283442476,112,3:52:37
9.9%,497500,1989.9999999805902,-3519035.055577267,575135.4733095325,311.73075127952245,112,3:52:29
10.0%,500000,1999.9999999803538,-3516809.5514854565,573839.4179758849,311.0282727825294,112,3:52:21
10.1%,502500,2009.9999999801173,-3518072.3365077134,573418.4220219154,310.8000876138051,112,3:52:14
10.1%,505000,2019.9999999798808,-3521087.767679982,573545.8930798031,310.86917855061176,112,3:52:07
10.2%,507500,2029.9999999796444,-3519020.299859032,572893.7198827146,310.51569237191563,112,3:51:59
10.2%,510000,2039.999999979408,-3521408.840434877,574321.3777515506,311.28950111902947,112,3:51:51
10.2%,512500,2049.9999999791717,-3521229.290355306,573688.8368040392,310.9466558696343,112,3:51:44
10.3%,515000,2059.999999978935,-3519360.7696333323,574316.8032468081,311.2870216791996,112,3:51:36
10.3%,517500,2069.9999999786987,-3521537.647449568,574193.5638837813,311.22022437490097,112,3:51:28
10.4%,520000,2079.9999999784623,-3517133.178284874,574129.0225560109,311.1852421532712,112,3:51:21
10.4%,522500,2089.999999978226,-3516329.407957971,575561.0821172626,311.961436673733,112,3:51:13
10.5%,525000,2099.9999999779893,-3517951.7400122564,573553.970957862,310.87355686339697,112,3:51:05
10.6%,527500,2109.999999977753,-3515637.713056585,575173.8026798703,311.75152628639637,112,3:50:57
10.6%,530000,2119.9999999775164,-3518103.530979965,572809.047700703,310.4697989709069,112,3:50:50
10.7%,532500,2129.99999997728,-3521897.940738909,574656.6455320001,311.47122052589884,112,3:50:42
10.7%,535000,2139.9999999770434,-3520608.019842075,573124.1438394106,310.6405850910524,112,3:50:34
10.8%,537500,2149.999999976807,-3519929.766694583,574362.6902898778,311.3118930409464,112,3:50:26
10.8%,540000,2159.9999999765705,-3519038.081120398,573220.2145201839,310.6926566235577,112,3:50:19
10.8%,542500,2169.999999976334,-3520750.5672645867,576017.4278882388,312.2087818934793,112,3:50:11
10.9%,545000,2179.9999999760976,-3517232.0684681796,573196.3790589869,310.67973750002795,112,3:50:03
10.9%,547500,2189.999999975861,-3519780.0310616195,575183.2182039961,311.75662962038575,112,3:49:55
11.0%,550000,2199.9999999756246,-3517624.6358493976,575550.2955387842,311.9555902108232,112,3:49:48
11.1%,552500,2209.999999975388,-3513809.4537181314,573649.0894345981,310.92511228918715,112,3:49:40
11.1%,555000,2219.9999999751517,-3518611.7065319587,575167.8129978562,311.748279802462,112,3:49:32
11.2%,557500,2229.999999974915,-3517325.0363052357,573239.7806404785,310.70326170994537,112,3:49:24
11.2%,560000,2239.9999999746788,-3520140.486729281,573283.885853543,310.72716729713653,112,3:49:16
11.2%,562500,2249.9999999744423,-3518616.248282101,574089.4790813702,311.16380908640264,112,3:49:08
11.3%,565000,2259.999999974206,-3520352.0921288934,575384.9787862223,311.8659864255121,112,3:49:01
11.3%,567500,2269.9999999739694,-3519019.967601953,573876.9351352649,311.0486075607202,112,3:48:53
11.4%,570000,2279.999999973733,-3517160.8337357976,575086.1863489775,311.70403711919823,112,3:48:45
11.4%,572500,2289.9999999734964,-3517587.5135332216,575612.5704931761,311.989344029218,112,3:48:38
11.5%,575000,2299.99999997326,-3518233.5827689953,575160.0487647646,311.7440714892435,112,3:48:30
11.6%,577500,2309.9999999730235,-3517728.994328173,576580.4440876053,312.5139438439344,112,3:48:22
11.6%,580000,2319.999999972787,-3519381.9759947974,573269.0164096677,310.7191078691836,112,3:48:14
11.7%,582500,2329.9999999725505,-3514713.1203886103,573389.722227053,310.784531959478,112,3:48:06
11.7%,585000,2339.999999972314,-3516693.4888501875,572619.3606677735,310.3669861832643,112,3:47:58
11.8%,587500,2349.9999999720776,-3522522.572389642,573243.0505636085,310.70503404992655,112,3:47:50
11.8%,590000,2359.999999971841,-3514853.976958493,574173.2584416962,311.20921856668707,112,3:47:43
11.8%,592500,2369.9999999716047,-3517317.895517744,573908.2038111675,311.0655555812876,112,3:47:35
11.9%,595000,2379.999999971368,-3522181.6005811486,574822.2703415919,311.5609912820434,112,3:47:27
11.9%,597500,2389.9999999711317,-3518859.392489644,573889.0013790599,311.055147618529,112,3:47:20
12.0%,600000,2399.9999999708953,-3520660.2855817545,575166.6530764068,311.74765111026403,112,3:47:12
12.1%,602500,2409.999999970659,-3521111.09367704,576473.1426094505,312.45578507621633,112,3:47:04
12.1%,605000,2419.9999999704223,-3519072.4495301507,575720.1666984835,312.0476625428062,112,3:46:57
12.2%,607500,2429.999999970186,-3519862.294741655,574015.9625413029,311.12396218540243,112,3:46:49
12.2%,610000,2439.9999999699494,-3518753.232858127,574377.6440294664,311.3199981582496,112,3:46:42
12.2%,612500,2449.999999969713,-3520394.3116778433,574636.36786539,311.4602297723461,112,3:46:34
