drug_name,smiles,livertox_category,livertox_notes,faers_cardiac,lookup_url
MESTRANOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=MESTRANOL
NANDROLONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=NANDROLONE
BELZUTIFAN,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=BELZUTIFAN
NORGESTREL,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=NORGESTREL
PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=PERGOLIDE
EQUILIN,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=EQUILIN
PHENPROCOUMON,CC[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=PHENPROCOUMON
TESTOLACTONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=TESTOLACTONE
ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=ESTRADIOL
LEVONORGESTREL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=LEVONORGESTREL
LOMEFLOXACIN,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=LOMEFLOXACIN
CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=CLOBAZAM
DYDROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,,,,https://www.ncbi.nlm.nih.gov/books/NBK547852/?term=DYDROGESTERONE
