final_rank,compound_id,drug_name,NOD2_Scout_drugability,LE,ADMET_score,safety_score,BBB,PAINS_alerts,Tier,FINAL_SCORE
2,10592,CID_10592,0.7956947,0.25927125500000003,0.9125658859131173,0.9085529530437249,0,0,1,0.894502695231621
4,2348,benzylhydrochlorothiazide,0.7195105,0.25696374958333335,0.9158963734311242,0.9196545781037475,0,0,1,0.871683403717578
5,100679,82585-94-2,0.7532124,0.2457529448,0.8765802581328842,0.9386008604429474,0,0,2,0.8610964867154882
6,2854,"[8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2-methylbutanoate",0.8164314,0.23006730428571429,0.867585099850681,0.9086169995022702,0,0,2,0.8513082272876127
9,201120,"Imidazo(1,2-a)pyridine, 2-(p-nitrophenyl)-3-(piperidinomethyl)-",0.7618953,0.24819334040000002,0.8531833287221439,0.8606110957404794,0,0,2,0.8454448988516013
15,100668,NSC341931,0.7987251,0.2559619332,0.7753573595625144,0.8234134207639365,0,0,2,0.8397549607326752
19,10120,CID_10120,0.8181015,0.23297035275862069,0.7953054979353528,0.9010183264511761,0,0,2,0.836015251231439
26,100626,CID_100626,0.7015454,0.2468465616,0.8900372199156658,0.8334573997188861,0,0,1,0.8293617987322763
32,3796,WHI-P97,0.7801256,0.26590331375000004,0.7587158542468054,0.7679417363782404,0,0,2,0.8273049908373494
35,2464,"5-(3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pyran-2-one",0.8374857,0.23600828642857144,0.77648130814283,0.8271599160316557,0,0,2,0.8263247681630254
42,10062,CHEMBL355996,0.8306968,0.2347928625,0.7725373639851568,0.8140134355060784,0,0,2,0.8190836939650383
48,11014,545-51-7,0.8267062,0.22811548814814817,0.7770493321046176,0.8290533292376141,0,0,2,0.8132920635340496
51,10053,Gamabufotalin (Gamabufagin; Gamabufogenin),0.7972792,0.2186617851724138,0.7953878444341805,0.9012928147806019,0,0,2,0.8111361200237293
53,3790,HDInhib_000075,0.65325063,0.285780625,0.7813296541483427,0.8433210693833647,0,0,2,0.8099718164137586
55,10059,CID_10059,0.79617184,0.2174285527586207,0.7953878444341805,0.9012928147806019,0,0,2,0.8091915060312822
63,100354,72766-24-6,0.7482624,0.21992364964285716,0.8539161059584889,0.863053686528296,0,0,2,0.8050651611070717
69,2705,CID_2705,0.81825393,0.2301090996551724,0.7643518110954678,0.7867282592071148,0,0,2,0.8017235619470843
72,100494,39632-88-7,0.81501055,0.2266974617857143,0.9124821316580661,0.9082737721935542,1,0,2,0.7976316397345666
73,2987,30635-00-8,0.8076402,0.22690168464285715,0.7676579219751772,0.7977486288061462,0,0,2,0.797376467505743
78,3962,79952-43-5,0.81328195,0.2224481024137931,0.7688132785993528,0.8015998175533984,0,0,2,0.7943051745589106
