compound_id,smiles,cnn_affinity,type,has_smiles,drug_name,final_smiles
fda_1628,_c001,6.50695038,FDA,False,,
fda_1149,METOLAZONE,5.24769831,FDA,False,METOLAZONE,
fda_1775,_c001,4.70371199,FDA,False,,
fda_1324,RIBOFLAVIN PHOSPHATE,4.64546061,FDA,False,RIBOFLAVIN PHOSPHATE,
fda_1812,_c001,5.13331795,FDA,False,,
fda_1682,_c001,4.74180841,FDA,False,,
fda_1307,ALISKIREN,5.60153198,FDA,False,ALISKIREN,
fda_1755,_c001,4.11631584,FDA,False,,
fda_1681,_c001,4.43182135,FDA,False,,
fda_1180,CARTEOLOL,3.21930432,FDA,False,CARTEOLOL,
fda_1199,GREPAFLOXACIN,4.80435896,FDA,False,GREPAFLOXACIN,
fda_1566,_c001,4.83029604,FDA,False,,
fda_1728,_c001,4.53364134,FDA,False,,
fda_1268,SAQUINAVIR,5.4330163,FDA,False,SAQUINAVIR,
fda_1000,NOVOBIOCIN,5.71098089,FDA,False,NOVOBIOCIN,
fda_1460,BENZQUINAMIDE,4.1828413,FDA,False,BENZQUINAMIDE,
fda_1747,_c001,4.11050367,FDA,False,,
fda_1492,TOLVAPTAN,5.44702864,FDA,False,TOLVAPTAN,
fda_1178,PROPAFENONE,3.94263721,FDA,False,PROPAFENONE,
fda_1039,CEFONICID,4.51875544,FDA,False,CEFONICID,
fda_1202,LACTIC ACID,2.7041328,FDA,False,LACTIC ACID,
fda_1827,SAFINAMIDE,3.31493688,FDA,False,SAFINAMIDE,
fda_1824,LIFITEGRAST,5.02756929,FDA,False,LIFITEGRAST,
fda_1271,INDINAVIR,5.06193924,FDA,False,INDINAVIR,
fda_1558,_c001,3.29629827,FDA,False,,
fda_1528,VEMURAFENIB,5.40291452,FDA,False,VEMURAFENIB,
fda_1248,PIPECURONIUM,6.06469393,FDA,False,PIPECURONIUM,
fda_1826,RUCAPARIB,5.04596853,FDA,False,RUCAPARIB,
fda_106,DIPHEMANIL,4.52620554,FDA,False,DIPHEMANIL,
fda_1187,_c001,3.44303036,FDA,False,,
fda_1594,_c001,5.15336227,FDA,False,,
fda_1561,_c001,4.08763361,FDA,False,,
fda_1638,_c001,4.25459814,FDA,False,,
fda_1624,_c001,4.53428936,FDA,False,,
fda_1335,TESTOSTERONE CYPIONATE,6.27472258,FDA,False,TESTOSTERONE CYPIONATE,
fda_1402,EFLORNITHINE,2.75194836,FDA,False,EFLORNITHINE,
fda_1439,_c001,4.44425201,FDA,False,,
fda_172,_c001,5.64298868,FDA,False,,
fda_180,METHYLPHENIDATE,3.19584346,FDA,False,METHYLPHENIDATE,
fda_1332,_c001,2.81100678,FDA,False,,
fda_1036,CEFMENOXIME,4.98890781,FDA,False,CEFMENOXIME,
fda_1119,DIETHYLPROPION,3.42219257,FDA,False,DIETHYLPROPION,
fda_1342,Molecule-1,2.56090617,FDA,True,,Molecule-1
fda_14,MEPERIDINE,3.99196529,FDA,False,MEPERIDINE,
fda_1192,ONDANSETRON,3.9746542,FDA,False,ONDANSETRON,
fda_1736,_c001,3.6575706,FDA,False,,
fda_1445,CLINDAMYCIN PHOSPHATE,3.81997371,FDA,False,CLINDAMYCIN PHOSPHATE,
fda_1585,_c001,5.22351837,FDA,False,,
fda_1397,TIOPRONIN,2.68835235,FDA,False,TIOPRONIN,
fda_1795,_c001,4.85070038,FDA,False,,
fda_1495,PRALATREXATE,4.98038483,FDA,False,PRALATREXATE,
fda_1739,_c001,3.54147339,FDA,False,,
fda_147,WARFARIN,4.85922766,FDA,False,WARFARIN,
fda_1732,_c001,4.62231779,FDA,False,,
fda_1597,_c001,4.97705078,FDA,False,,
fda_1198,DONEPEZIL,4.88029289,FDA,False,DONEPEZIL,
fda_1367,_c001,4.6994195,FDA,False,,
fda_112,MEPHENTERMINE,2.91908836,FDA,False,MEPHENTERMINE,
fda_1376,MEBUTAMATE,3.77110028,FDA,False,MEBUTAMATE,
fda_1474,PRASUGREL,4.61686516,FDA,False,PRASUGREL,
fda_1615,_c001,4.9793725,FDA,False,,
fda_1130,ACRISORCIN,3.4243381,FDA,False,ACRISORCIN,
fda_1571,_c001,6.06077814,FDA,False,,
fda_1134,METAXALONE,3.34436345,FDA,False,METAXALONE,
fda_1425,CEFDITOREN PIVOXIL,5.49285269,FDA,False,CEFDITOREN PIVOXIL,
fda_181,MECAMYLAMINE,3.55595589,FDA,False,MECAMYLAMINE,
fda_1564,_c001,4.62794828,FDA,False,,
fda_1841,BRIGATINIB,4.90723181,FDA,False,BRIGATINIB,
fda_1711,_c001,6.46600103,FDA,False,,
fda_1309,LAPATINIB,5.74226332,FDA,False,LAPATINIB,
fda_117,ISONIAZID,3.18299389,FDA,False,ISONIAZID,
fda_1043,IMIPENEM,3.1855762,FDA,False,IMIPENEM,
fda_156,_c001,4.61890173,FDA,False,,
fda_1001,SPECTINOMYCIN,2.88872075,FDA,False,SPECTINOMYCIN,
fda_1541,_c001,4.61348534,FDA,False,,
fda_1764,_c001,2.89153695,FDA,False,,
