FPR,TPR_Fold1,TPR_Fold2,TPR_Fold3,TPR_Fold4,TPR_Fold5,TPR_Mean,TPR_Shuffled
0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00
0.02,0.150,0.120,0.200,0.160,0.170,0.160,0.02
0.04,0.280,0.230,0.350,0.300,0.310,0.294,0.04
0.06,0.390,0.330,0.470,0.410,0.430,0.406,0.06
0.08,0.480,0.420,0.560,0.500,0.520,0.496,0.08
0.10,0.560,0.490,0.640,0.580,0.600,0.574,0.10
0.12,0.620,0.550,0.700,0.640,0.660,0.634,0.12
0.14,0.670,0.600,0.750,0.690,0.710,0.684,0.14
0.16,0.720,0.650,0.790,0.740,0.755,0.731,0.16
0.18,0.760,0.690,0.825,0.780,0.795,0.770,0.18
0.20,0.790,0.720,0.855,0.810,0.825,0.800,0.20
0.25,0.850,0.790,0.900,0.860,0.875,0.855,0.25
0.30,0.890,0.840,0.930,0.900,0.910,0.894,0.30
0.35,0.920,0.880,0.950,0.930,0.940,0.924,0.35
0.40,0.940,0.905,0.965,0.950,0.955,0.943,0.40
0.45,0.955,0.925,0.975,0.960,0.968,0.957,0.45
0.50,0.965,0.940,0.982,0.970,0.976,0.967,0.50
0.55,0.973,0.952,0.987,0.978,0.982,0.974,0.55
0.60,0.980,0.962,0.991,0.984,0.987,0.981,0.60
0.65,0.985,0.970,0.994,0.989,0.991,0.986,0.65
0.70,0.989,0.977,0.996,0.992,0.994,0.990,0.70
0.75,0.992,0.983,0.997,0.995,0.996,0.993,0.75
0.80,0.995,0.988,0.998,0.997,0.997,0.995,0.80
0.85,0.997,0.992,0.999,0.998,0.998,0.997,0.85
0.90,0.998,0.995,0.999,0.999,0.999,0.998,0.90
0.95,0.999,0.998,1.000,1.000,1.000,0.999,0.95
1.00,1.000,1.000,1.000,1.000,1.000,1.000,1.00
