feature,importance
num_heavy_atoms,1.8975536
logp,1.2773156
mw,0.97797453
num_rings,0.5467168
fp_1917,0.5260177
fp_695,0.23762241
fraction_csp3,0.15123074
fp_656,0.055669915
qed,0.047970198
fp_1325,0.041053165
rotatable_bonds,0.03919058
fp_650,0.031639382
lipinski_violations,0.02954085
hba,0.01797595
fp_222,0.01678325
fp_1950,0.014264435
fp_519,0.010560511
fp_1077,0.008865196
fp_1292,0.007159069
aromatic_rings,0.0063015036
fp_610,0.0043373993
fp_1323,0.0042899605
fp_1369,0.0
fp_1364,0.0
fp_1370,0.0
fp_1368,0.0
fp_1349,0.0
fp_1367,0.0
fp_1366,0.0
fp_1371,0.0
fp_1372,0.0
fp_1365,0.0
fp_1350,0.0
fp_1363,0.0
fp_1362,0.0
fp_1361,0.0
fp_1360,0.0
fp_1359,0.0
fp_1358,0.0
fp_1357,0.0
fp_1356,0.0
fp_1355,0.0
fp_1354,0.0
fp_1353,0.0
fp_1352,0.0
fp_1351,0.0
fp_1373,0.0
fp_1379,0.0
fp_1374,0.0
fp_1375,0.0
fp_1402,0.0
fp_1401,0.0
fp_1400,0.0
fp_1399,0.0
fp_1398,0.0
fp_1397,0.0
fp_1396,0.0
fp_1395,0.0
fp_1394,0.0
fp_1393,0.0
fp_1392,0.0
fp_1391,0.0
fp_1390,0.0
fp_1389,0.0
fp_1388,0.0
fp_1387,0.0
fp_1386,0.0
fp_1385,0.0
fp_1384,0.0
fp_1383,0.0
fp_1382,0.0
fp_1381,0.0
fp_1380,0.0
fp_1347,0.0
fp_1378,0.0
fp_1377,0.0
fp_1376,0.0
fp_1348,0.0
fp_1339,0.0
fp_1346,0.0
fp_1298,0.0
fp_1311,0.0
fp_1310,0.0
fp_1309,0.0
fp_1308,0.0
fp_1307,0.0
fp_1306,0.0
fp_1305,0.0
fp_1304,0.0
fp_1303,0.0
fp_1302,0.0
fp_1301,0.0
fp_1300,0.0
fp_1299,0.0
fp_1297,0.0
fp_1345,0.0
fp_1296,0.0
fp_1295,0.0
fp_1294,0.0
fp_1293,0.0
fp_1291,0.0
fp_1290,0.0
fp_1289,0.0
fp_1288,0.0
fp_1287,0.0
fp_1286,0.0
fp_1285,0.0
fp_1284,0.0
fp_1283,0.0
fp_1312,0.0
fp_1313,0.0
fp_1314,0.0
fp_1315,0.0
fp_1344,0.0
fp_1343,0.0
fp_1342,0.0
fp_1341,0.0
fp_1340,0.0
fp_1404,0.0
fp_1338,0.0
fp_1337,0.0
fp_1336,0.0
fp_1335,0.0
fp_1334,0.0
fp_1333,0.0
fp_1332,0.0
fp_1331,0.0
fp_1330,0.0
fp_1329,0.0
fp_1328,0.0
fp_1327,0.0
fp_1326,0.0
fp_1324,0.0
fp_1322,0.0
fp_1321,0.0
fp_1320,0.0
fp_1319,0.0
fp_1318,0.0
fp_1317,0.0
fp_1316,0.0
fp_1403,0.0
fp_1411,0.0
fp_1405,0.0
fp_1485,0.0
fp_1498,0.0
fp_1497,0.0
fp_1496,0.0
fp_1495,0.0
fp_1494,0.0
fp_1493,0.0
fp_1492,0.0
fp_1491,0.0
fp_1490,0.0
fp_1489,0.0
fp_1488,0.0
fp_1487,0.0
fp_1486,0.0
fp_1484,0.0
fp_1500,0.0
fp_1483,0.0
fp_1482,0.0
fp_1481,0.0
fp_1480,0.0
fp_1479,0.0
fp_1478,0.0
fp_1477,0.0
fp_1476,0.0
fp_1475,0.0
fp_1474,0.0
fp_1473,0.0
fp_1472,0.0
fp_1471,0.0
fp_1499,0.0
fp_1501,0.0
fp_1469,0.0
fp_1517,0.0
fp_1530,0.0
fp_1529,0.0
fp_1528,0.0
fp_1527,0.0
fp_1526,0.0
fp_1525,0.0
fp_1524,0.0
fp_1523,0.0
fp_1522,0.0
fp_1521,0.0
fp_1520,0.0
fp_1519,0.0
fp_1518,0.0
fp_1516,0.0
fp_1502,0.0
fp_1515,0.0
fp_1514,0.0
fp_1513,0.0
fp_1512,0.0
fp_1511,0.0
fp_1510,0.0
fp_1509,0.0
fp_1508,0.0
fp_1507,0.0
fp_1506,0.0
fp_1505,0.0
fp_1504,0.0
fp_1503,0.0
fp_1470,0.0
fp_1468,0.0
fp_1406,0.0
fp_1421,0.0
fp_1434,0.0
fp_1433,0.0
fp_1432,0.0
fp_1431,0.0
fp_1430,0.0
fp_1429,0.0
fp_1428,0.0
fp_1427,0.0
fp_1426,0.0
fp_1425,0.0
fp_1424,0.0
fp_1423,0.0
fp_1422,0.0
fp_1420,0.0
fp_1436,0.0
fp_1419,0.0
fp_1418,0.0
fp_1417,0.0
fp_1416,0.0
fp_1415,0.0
fp_1414,0.0
