Rank,Drug,Class,Score,Novel Finding
1,ZURANOLONE,Neurosteroid,0.8586955509549702,NOVEL: GABA modulator - neuroimmune axis
2,DESOXIMETASONE,Corticosteroid,0.8359011609431783,Steroid class
3,MEDRYSONE,Corticosteroid,0.834971399595859,Steroid class
4,NORGESTREL,Other,0.8294932098021053,To be classified
5,LEVONORGESTREL,Other,0.8270904406089076,To be classified
6,ABIRATERONE,Other,0.8250212031125358,To be classified
7,RIMEXOLONE,Other,0.8247171314537998,To be classified
8,NANDROLONE PHENPROPIONATE,Other,0.8218026823095866,To be classified
9,DESOXYCORTICOSTERONE,Corticosteroid,0.8188294867118608,Steroid class
10,LOMEFLOXACIN,Antibiotic,0.8142701072741602,Antimicrobial
11,QUINESTROL,Other,0.812201471050354,To be classified
12,PRAZIQUANTEL,Other,0.8118344742769834,To be classified
13,DYDROGESTERONE,Other,0.8110557054650421,To be classified
14,TRIAZOLAM,Other,0.8105164995480982,To be classified
15,HALCINONIDE,Other,0.8104339440797466,To be classified
16,SULINDAC,Other,0.809827536342145,To be classified
17,NORETHINDRONE,Other,0.8094549316112892,To be classified
18,STANOZOLOL,Other,0.8085583281905072,To be classified
19,MEDROXYPROGESTERONE ACETATE,Other,0.8083070438481113,To be classified
20,TESTOSTERONE PROPIONATE,Other,0.8079253000438612,To be classified
21,NANDROLONE,Other,0.8077694944590582,To be classified
22,ESCITALOPRAM,Other,0.8075111647228559,To be classified
23,DIENOGEST,Other,0.8064470631031468,To be classified
24,CHOLECALCIFEROL,Vitamin D,0.8057815724421572,NOVEL: Immunomodulatory - IBD association
25,ESTRADIOL VALERATE,Other,0.8055984517909903,To be classified
26,BUDESONIDE,Corticosteroid,0.8046708006510969,Known IBD drug - first-line therapy
27,PERGOLIDE,Other,0.804303644971482,To be classified
28,GANAXOLONE,Neurosteroid,0.804189184746027,NOVEL: GABA modulator
29,MESTRANOL,Other,0.804077712219716,To be classified
30,DEOXYCHOLIC ACID,Other,0.8035313171272368,To be classified
31,LEVOCABASTINE,Antihistamine,0.8029362456208865,NOVEL: H1 antagonist - gut mast cells
32,ESTRADIOL CYPIONATE,Other,0.8027642202232954,To be classified
33,FLUOXYMESTERONE,Other,0.8021170220314916,To be classified
34,TESTOSTERONE CYPIONATE,Other,0.8013773646552359,To be classified
35,MEGESTROL ACETATE,Other,0.8005180577724084,To be classified
36,ABIRATERONE ACETATE,Other,0.7987003023046964,To be classified
37,CELECOXIB,COX-2 Inhibitor,0.7977628842433417,NOVEL: Selective COX-2 - may be safer in IBD
38,RISPERIDONE,Other,0.797725727593773,To be classified
39,PROPIOMAZINE,Other,0.7973397076923049,To be classified
40,FEBUXOSTAT,Other,0.7964674507031066,To be classified
41,LOVASTATIN,Statin,0.7959510618011078,NOVEL: HMG-CoA reductase inhibitor - anti-inflammatory
42,NEVIRAPINE,Other,0.7957493189188262,To be classified
43,BREXANOLONE,Other,0.7957029151555142,To be classified
44,ETHINYL ESTRADIOL,Other,0.7956543085001542,To be classified
45,TESTOLACTONE,Other,0.7947991862866558,To be classified
46,LEMBOREXANT,Other,0.7944718762410317,To be classified
47,M CICLESONIDE,Other,0.7936902053963988,To be classified
48,M TAZAROTENE,Other,0.7933730838401867,To be classified
49,M SULINDAC,Other,0.7933145891763556,To be classified
50,BETAMETHASONE BENZOATE,Corticosteroid,0.7930831021555967,Known IBD drug
